source,target,source example,target example,source language,target language,source segment,url,comment
"abbagliante","dazzling","È variopinto ed abbagliante davanti allo spettatore.","It is colorful and dazzling in front of the viewer.","it","en","","",""
"abbastanza","enough","Ho avuto abbastanza funerali questa settimana.","I've had enough funerals for one week.","it","en","","",""
"abbastanza a lungo","long enough","Dovremmo trattenerlo abbastanza a lungo da completare il rituale.","We can hopefully contain it long enough to complete the ritual.","it","en","","",""
"abbattuto","shot down","Questo elicottero verrà abbattuto tra 7 minuti.","This helicopter will be shot down in seven minutes.","it","en","","","downed, demolished"
"abbozzare","sketch","Devo abbozzare tutti i diagrammi, a partire dall'anno nuovo.","I have to sketch all schematics, starting from the new year.","it","en","","",""
"abitudine","habit","Uccidere generali potrebbe diventare un'abitudine per me.","Killing generals could get to be a habit with me.","it","en","","","custom, practice"
"accanito","avid","È un accanito ascoltatore ed il più grande appassionato del nostro programma.","He is an avid listener and the biggest fan of our show.","it","en","","",""
"accanto","next","Trasferisco questi due nella forza lavoro del villaggio accanto.","I'm just transferring these two to the work force in the next village.","it","en","","","beside, alongside"
"accettare","accept","Bisogna accettare con serietà questa terribile necessità.","We ought to accept it solemnly as a fearful necessity.","it","en","cioè accettano di aderire a standard di sostenibilità elevata, come moltissimi ristoranti","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","take, agree"
"accolto","welcomed","Sapete, abbiamo accolto molti gentiluomini qui.","Yes, I've welcomed many fine gentlemen here.","it","en","","",""
"acconciatura","hair","Kenneth non ha più un'acconciatura diversa.","Kenneth doesn't have different hair anymore.","it","en","","",""
"accontentare","satisfy","Hanno saputo accontentare ogni richiesta che avevamo.","They have been able to satisfy every request we had.","it","en","","","please, accommodate"
"accoppiamento","coupling","Ciò garantirà un buon accoppiamento tra parete e pigmenti.","This will ensure a good coupling between the wall and pigments.","it","en","","","mating, pairing"
"accorciare","shorten","Potrebbe anche accorciare la permanenza in ospedale.","This may also shorten the duration of your hospitalisation.","it","en","","","cut, reduce"
"accorciato","shortened","L'ho scelto perché il suo nome non può essere accorciato.","I chose him because his name can't be shortened.","it","en","","","shorter, cut"
"accordo","agreement","Avrebbe voluto darglielo per sigillare l'accordo e...","He wanted to give it to you to sign the agreement, and...","it","en","","","deal, arrangement"
"accorgimento","trick","Questo piccolo accorgimento dona molto alla foto.","This little trick gives a lot to the picture.","it","en","","https://classroom.italki.com/r/2122345678","device, precaution"
"accumulare","accumulate","Non esistono articolazioni e pori in cui accumulare sporcizia.","There are no joints and pores in which to accumulate dirt.","it","en","","","earn, collect"
"adattato","adapted","Abbiamo adattato i nostri processi di lavoro.","We've adapted our work processes using agile project management methodologies.","it","en","","",""
"addobbare","decorate","Perché sei troppo pigro per addobbare.","'Cause you're too lazy to decorate.","it","en","","","adorn, festoon"
"addolcire","sweeten","Bisogna addolcire l'amarezza della vita.","It's necessary to sweeten the bitterness of life.","it","en","","","soften, sugarcoat"
"aderire","join","Devi avere 18 anni per aderire.","You have to be 18 years old to join.","it","en","cioè accettano di aderire a standard di sostenibilità elevata, come moltissimi ristoranti","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","adhere, accede"
"aderire a","adhere to","Brian era costretto a aderire a uno stile di vita... molto rigido.","Brian was required to adhere to a very structured lifestyle.","it","en","cioè accettano di aderire a standard di sostenibilità elevata, come moltissimi ristoranti","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","accede to, agree to"
"adesso controllo","I'll check","Va bene, adesso controllo Facebook.","I will, I'll check my Facebook.","it","en","","","..."
"adottare","adopt","Occorre pertanto adottare provvedimenti a livello comunitario.","As a consequence, it is necessary to adopt measures at Community level.","it","en","","","take, implement"
"adottato","adopted","Sembra che abbiano adottato alcune risoluzioni.","Well it seems they've adopted some resolutions.","it","en","","",""
"affamato","hungry","Allora mangiamo, sono terribilmente affamato.","Let's eat. I'm very hungry.","it","en","","","starving, starved"
"affascinare","fascinate","Vogliamo affascinare una nuova generazione di armatori .","We want to fascinate a new generation of shipowners .","it","en","","","charm, captivate"
"affaticare","tire","Per non affaticare il lettore, traduco il resto della conversazione in francese.","In order not to tire the reader, I translate the rest of the conversation into French.","it","en","","","strain, fatigue"
"affatto","at all","Non credo che sia affatto ridicolo.","I don't think it's ridiculous at all.","it","en","","","any, really"
"affermare","say","Posso affermare con certezza che stiamo cercando un mancino.","I could say with certainty that the person we're looking for is left-handed.","it","en","","","affirm, state"
"affetto","affection","Non tollererò più queste sfacciate manifestazioni di affetto.","I won't tolerate any more these unashamed displays of affection.","it","en","","","love, fondness"
"affettuoso","affectionate","Sei molto più affettuoso di quanto mi ricordassi.","You know, you're a lot more affectionate than I remember.","it","en","","https://classroom.italki.com/r/8356326278","loving, warm"
"affiancare","support","Possiamo affiancare il cliente durante l'installazione della...","We can support the client during the installation and the start-up Trolleys:...","it","en","","","assist, combine"
"affidabile","reliable","Darebbe un'interpretazione affidabile e sobria.","He'll give you a reliable, sober performance.","it","en","","","trustworthy, trusted"
"affittare","rent","Prima stava per affittare una stanza.","He was about to rent a room earlier.","it","en","","","hire, lease"
"affliggere","afflict","Ambizioso signore, non affliggere il mio cuore.","Ambitious lord, leave to afflict my heart.","it","en","","","plague, affect"
"affogare","drown","Mi hai lasciata lì ad affogare.","No, you left me in there to drown.","it","en","","","sink, poach"
"affranto","broken","Mi rendo conto che il suo animo è affranto.","I realise your heart is broken. I completely understand, but...","it","en","","",""
"affrontare","face","Gli farò affrontare le decisioni senza paura.","I'll let him face a decision without fear.","it","en","","","address, deal with"
"affrontarsi","face off","Ok, sentiamo altre idee sui luoghi in cui il serial killer e le streghe potrebbero affrontarsi.","Let's hear some other ideas on places where the serial killer and the witches could face off.","it","en","","","face each other, compete"
"agevole","easy","Il viaggio tuttavia non sarà agevole.","However, the journey will not be an easy one.","it","en","","",""
"agghiacciante","chilling","Recentemente ho fatto una scoperta agghiacciante.","And that's all recently made a chilling discovery.","it","en","","",""
"aggiungere","add","Vorrei aggiungere un altro nome all'attenzione del comitato.","I would like to add one more name for the committee's consideration.","it","en","","","say, append"
"aggiustare","fix","Sono riusciti ad aggiustare l'antenna.","Somehow they'd managed to fix the aerial.","it","en","","","adjust, repair"
"agio","ease","La cosa importante è mettere i clienti a loro agio.","What is important here is putting your clients at ease.","it","en","","","comfort, leisure"
"agire","act","Dobbiamo agire finché abbiamo un vantaggio.","We have to act while we have an advantage.","it","en","","","take action, work"
"agire in","act in","Tu sfrutti la mia debolezza per agire in mio nome.","You take advantage of my illness to act in my name.","it","en","","","take action in, work in"
"al di là","beyond","Quello che gli sto offrendo è al di là della tua comprensione.","What I offer is clearly beyond your comprehension.","it","en","","",""
"al largo","off","Situato appena al largo della costa...","Located just off the southeastern tip of India, it's a...","it","en","","","at sea, off-shore"
"alba","dawn","Dovremmo arrivare in cima alla montagna all'alba.","That should bring us to the top of the mountain by dawn.","it","en","","",""
"alcun","any","Non hanno alcun diritto né alcun tipo di assistenza.","They don't have any rights, any form of assistance.","it","en","","","nothing, anything"
"aldilà","afterlife","Abbiamo mandato nell'aldilà avversari immeritevoli.","Sent many an unworthy opponent to the afterlife.","it","en","","","beyond, hereafter"
"alimentarsi","feed","Possono imparare tardivamente a vestirsi e ad alimentarsi autonomamente.","Children with ID may be slow to learn to dress and feed themselves.","it","en","","","eat, be nourished"
"allagare","flood","Per allagare ciò che rimane della mia piantagione.","To flood what's left of my plantation.","it","en","","","drown, swamp"
"allegro","cheerful","Mi piace vedere il lato allegro.","I like to look on the cheerful side.","it","en","","",""
"allenamento","training","Finché non completerò l'allenamento non tornerò.","Until I have accomplished my training I won't return.","it","en","","","workout, practice"
"allenarsi","train","Tutti devono pagare per allenarsi qui.","Everyone's got to pay to train here.","it","en","","","work out, practice"
"allontanamento","departure","Per questo l'allontanamento del Dottor Heller dal progetto è po' problematico.","Which is why Dr. Heller's departure from the programme has become quite a problem.","it","en","","",""
"allontanamento","removal","Qualunque violazione causerà l'allontanamento dall'aula.","Any violation will result in removal from the courtroom.","it","en","","","departure, expulsion"
"allontanare","remove","Devo chiedervi di allontanare tutte queste persone in tuta anti-contaminazione.","Because I must insist that you remove all these people in Hazmat suits immediately.","it","en","","","ward off, alienate"
"allontanarsi","get away","Aspetta finchè non senti il motoscafo allontanarsi.","Be sure and wait until you hear the speedboat get away.","it","en","","","move away, leave"
"allungare","stretch","È importante alleggerire e allungare lo spazio.","It is important to lighten and stretch the space.","it","en","","",""
"altrove","elsewhere","La mia presenza è richiesta altrove.","Something has occurred which requires my presence elsewhere.","it","en","","","somewhere else, anywhere else"
"amareggiato","bitter","Allora sì, sono davvero amareggiato.","Then, yes, I'm so bitter.","it","en","","",""
"ambientare","set","Ho cercato a lungo di capire quale sarebbe stato il luogo migliore dove ambientare un film sul miracolo: dopo molte ricerche ho deciso che dovevo girarlo a Lourdes.","I tried to understand what would be the best place to set a film about miracles. After a lot of research, I decided I had to shoot in Lourdes.","it","en","","",""
"ambientato","set","Tutto questo ambientato nell'ambiente più spettacolare del mondo.","All of this set in the most spectacular environment in the world.","it","en","","",""
"ambizioso","ambitious","È un approccio ambizioso per un'evasione.","That's an ambitious approach to a prison break.","it","en","Una visione propositiva ed ambiziosa, che si contrappone alle strategie coercitive adottate dai maggiori hotspot contro il turismo di massa","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","challenging, aspirational"
"amichevole","friendly","Eppure questo posto sembra così intimo, amichevole.","And yet the place feels so intimate, so friendly.","it","en","","","amicable, friendlier"
"ammalarsi","fall ill","","","it","en","","","become ill, sicken"
"ammalarsi","falling ill","Amnon è innamorato al punto di ammalarsi d'amore.","Amnon is in love to the point of falling ill.","it","en","","","become ill, sicken"
"ammaliato","bewitched","Sebbene fossi ammaliato, avevo ugualmente un certo grado di libertà.","Although I was bewitched, I still had a certain degree of freedom.","it","en","","",""
"ammazza","kill","Mio padre ha detto che m'ammazza.","My dad says he'll kill me.","it","en","","","killing, killer"
"ammazzare il tempo","kill time","Aiuta ad ammazzare il tempo quando vivi ai margini.","Helps kill time when you live on the sidelines.","it","en","","https://classroom.italki.com/r/3113385678","killing time, kill some time"
"amorevole","loving","Era un uomo gentile e amorevole.","He was in every way, a most lovely and loving man.","it","en","","","lovely, caring"
"ampio","large","Il raggio d'azione sembra piuttosto ampio.","His area of control appears to be quite large.","it","en","","",""
"analogo","similar","Credo di avere un problema analogo.","I believe I may have a similar problem.","it","en","","","analogous, same"
"ancora adesso","even now","Dove, ancora adesso... 1,000 anni dopo...","Where, even now... 1,000 years later...","it","en","","","again now, still"
"andare d'accordo","get along","È inquietante vedervi andare d'accordo.","It's unsettling to see you two get along.","it","en","","","get on, hit it off"
"andirivieni","coming and going","C'è stato un gran andirivieni oggi.","People have been coming and going all day.","it","en","","",""
"anello","ring","Sa già dell'anello, ovviamente.","You already know about the ring of course.","it","en","","","link, loop"
"angolo","corner","Ha intrappolato il campione in un angolo.","He's got the champion trapped in the corner.","it","en","","","angle, area"
"angosciare","distress","Fai quello che ti pare, ma non angosciare me.","Do what you want, but do not distress me.","it","en","","","get upset, anguish"
"angusto","narrow","Mi attendono ardue imprese e angusto è il sentiero della virtù.","Leave me, the ventures that wait for me are hard and narrow the way of virtue.","it","en","","","cramped, poky"
"annegare","drown","Alfonso, non sa nuotare potrebbe annegare con le scarpe slacciate.","Alfonso, be careful... if you don't know how to swim, you just might drown with those untied boots.","it","en","","","sink"
"annientamento","annihilation","Diventi complice del tuo stesso annientamento.","You become an accomplice to your own annihilation.","it","en","","","destruction, obliteration"
"annoverarsi","be numbered","Dì: Non è da annoverarsi fra la gente di Bahá colui che segue i desideri mondani o pone il cuore nelle cose terrene.","Say: He is not to be numbered with the people of Bahá who followeth his mundane desires, or fixeth his heart on things of the earth.","it","en","","","be counted"
"anonimo","anonymous","Ha preso precauzioni per mantenersi anonimo.","He took precautions to keep his identity anonymous.","it","en","","","anonymized, unnamed"
"anteriori","front","Ha dei denti incisivi anteriori molto grandi.","And this has very big, gnawing front teeth.","it","en","","","anterior, prior"
"anticamera","anteroom","Lo scorti nell'anticamera dell'area di quarantena.","Escort this young man to the quarantine anteroom.","it","en","","","antechamber, hall"
"anticipo","advance","Prendo l'anticipo del prossimo mese.","I'm taking an advance for next month, old timer.","it","en","","","deposit, advance payment"
"anziché","rather than","È consigliabile affrontare questi problemi complessivamente anziché separatamente.","We recommend that you address all of these areas as a whole rather than separately.","it","en","","","instead of, as opposed"
"appartato","secluded","Vogliamo trovare un posto tranquillo e appartato.","ROSALEE: We want to find someplace quiet and secluded.","it","en","","","apart, isolated"
"appartenere","belong","Credo di appartenere alla seconda categoria.","I think I belong in the latter category.","it","en","","","pertain, be part of"
"appartenere del tutto a","belong entirely to","","","it","en","","",""
"appassionato","passionate","Non sono esattamente un uomo appassionato.","I'm not what you'd call a passionate man.","it","en","","",""
"appendere","hang","Mi piacerebbe appendere qualcos'altro a quegli uncini.","I can think of better things to hang from those hooks.","it","en","","","hang up, put up"
"appendiabiti","coat rack","L'avete fatto davanti a me, non sono un appendiabiti.","Why would you do it in front of me? I'm not a coat rack.","it","en","","","coat hanger, clothes hanger"
"appese","hung","Indossano pellicce e pesanti campanacci appese sulla schiena.","They wear fur and heavy bells hung on their backs.","it","en","","","hanging from, hang"
"apprendere","learn","Voglio invece apprendere come sconfiggere migliaia di nemici.","I want to learn how to defeat thousands of enemies.","it","en","","","hear, acquire"
"approfittare","take advantage","Non mi piace approfittare dei dilettanti.","I don't like to take advantage of amateurs.","it","en","","","enjoy, benefit from"
"approfittarne","take advantage of it","Peccato che sia troppo permaloso per approfittarne.","Pity you're too chippy to take advantage of it.","it","en","","","take advantage of this, take this opportunity"
"approfondire","deepen","Crediamo sia necessario approfondire alcuni aspetti.","We think that we have to deepen some aspects.","it","en","","","explore, investigate"
"appropriarsi","appropriate","Qualunque tentativo di appropriarsi delle provviste di questo edificio verrà respinto con la forza.","Any attempt to appropriate provisions from these premises will be met by force.","it","en","","",""
"approssimativo","approximate","Questo parametro influisce sul numero approssimativo dei tratti.","This parameter affects the approximate number of the additional strokes.","it","en","","","rough, approx"
"approvare","approve","Non posso approvare stasera ciò che potreste fare domani.","Well, I can't approve this evening something you may do tomorrow.","it","en","","","adopt, pass"
"appunto","precisely","È appunto il paradosso della lampadina.","This is precisely the paradox of the light bulb.","it","en","","","just, indeed"
"aprezzare","appreciate","Potrete aprezzare il mondo Epico (maestoso e lirico) che esso stesso mostra.","You will appreciate the epic world (majestic and lyrical) that it shows in itself.","it","en","","",""
"arcaico","archaic","Che sembra arcaico ormai, perché...","Which feels archaic at this point 'cause, like...","it","en","","",""
"ardente","burning","Si uniscono in un ardente abbraccio...","They are feeling burning love, embracing tightly.","it","en","","","ardent, fiery"
"arginare","stem","Non possiamo arginare l'onda del cambiamento.","We cannot stem the tide of change.","it","en","","","curb, contain"
"arrendersi","surrender","Possono arrendersi, ma non ci conterei.","They could surrender, but I wouldn't count on that.","it","en","","","give up, give in"
"arricchito","enriched","Questa visita ci ha emozionato e arricchito molto.","This visit has thrilled us and enriched us a lot.","it","en","","","enhanced, embellished"
"asilo","babysitting barn","Credo che dovremo chiudere l'asilo.","I think we need to shut down the babysitting barn.","it","en","","",""
"assente","absent","Se sarai assente, contatta la scuola.","If you're going to be absent, contact the school.","it","en","","","missing, absentee"
"assenza","absence","Bene, questo spiegherebbe l'assenza dei palloncini.","Well, that would explain the absence of balloon animals.","it","en","","",""
"assiduamente","assiduously","Alcuni esempi di prodotti che funzionano assiduamente.","They are some examples of the products that we work assiduously.","it","en","","","diligently, hard"
"assomigliare","look like","Queste barbe farebbero assomigliare chiunque ad Ice King.","These whiskers would make anyone look like the ice king.","it","en","","","resemble, take after"
"assorbire","absorb","Ho il potere di assorbire energia.","I've got the power to absorb energy.","it","en","","","soak, imbibe"
"assurda","absurd","Talmente assurda che dapprima mi spaventò.","So absurd that it frightened me at first.","it","en","","","crazy, ridiculous"
"assurdo","absurd","Quanto difficile può... è assurdo.","How difficult can it... that is absurd.","it","en","","","crazy, ridiculous"
"astuzia","cunning","Dobbiamo anche resistere all'astuzia del diavolo.","We must also resist the cunning of the devil.","it","en","Una deriva preoccupante che Wonderful Copenaghen intende scongiurare con gentilezza e astuzia","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","guile, astuteness"
"attaccamento","attachment","Due millimetri sopra l'attaccamento dello sternoioideo.","Two millimeters superior to the attachment of the sternohyoid.","it","en","","",""
"attaccare","attack","Adesso dobbiamo decidere il giusto momento per attaccare.","Now we must decide the right moment for our attack.","it","en","","","attach, stick"
"atteggiamento","attitude","Non capisco l'atteggiamento della madre.","I don't understand the mother's attitude.","it","en","","","approach, stance"
"attendere","wait","Deve attendere nove mesi per avere un bambino.","She has to wait nine months for the concept of a child.","it","en","","","wait for, await"
"attento","careful","Leonard, devi stare molto attento.","Leonard, look, you have to be very careful.","it","en","Del resto, la capitale danese è considerata una delle metropoli più attente alla sostenibilità ambientale al mondo: il suo sistema di trasporto pubblico è completamente elettrico e moltissimi abitanti si spostano perlopiù in bici","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","attentive, caring"
"attimo","moment","Aspetta un attimo, sto arrivando.","Just a moment, I'll come over there.","it","en","","","second, minute"
"attingere","tap into","Mi servirà attingere alla tua mente enciclopedica.","I'm going to need to tap into your mental thesaurus.","it","en","","","draw on, draw from"
"attirare","attract","Facciamo una campagna pubblicitaria per attirare clienti.","We're running an advertising campaign to attract customers.","it","en","","",""
"atto","act","È illegale beneficiare di un atto criminale.","It's illegal to benefit from a criminal act.","it","en","","","note, deed"
"attorno","around","Giriamo attorno al prossimo costone e ricalibriamo.","Let's swing around on the next bridge and recalibrate.","it","en","","",""
"attrarre","attract","Un'ostentazione stravagante per attrarre un compagno.","Just an extravagant display intended to attract a mate.","it","en","","","draw, appeal"
"attraversare","cross","Per raggiungerla dobbiamo attraversare campi agricoli.","In order to reach it we need to cross agricultural fields.","it","en","","","go through, traverse"
"attraverso","through","Arriveremo dallàaltra parte del laboratorio attraverso i condotti.","We'll get to the other end of the workshop through these pipes.","it","en","","","via, across"
"attrezzato","equipped","Non penso di essere attrezzato per sopportare tutto questo.","I don't think I'm equipped to handle all this any more.","it","en","","","well-equipped, furnished"
"attrezzo","tool","Un... incidente con un attrezzo al laboratorio.","No, it's - I had an incident with a tool at the workshop.","it","en","","","gear, equipment"
"aulico","aulic","Quanto al titolo, il signor consigliere aulico ha ragione; egli si dimentica però del contenuto.","The aulic councillor is right as regards the title, but he forgets the content.","it","en","","",""
"autista","driver","Macché autista, è mio fratello.","He's no driver, that's my brother.","it","en","","","chauffeur, chauffer"
"autore","author","L'autore non sembra un estremista.","The author doesn't sound like a radical.","it","en","","","writer, artist"
"autorevole","authoritative","Ho affermato che la più autorevole organizzazione internazionale presenterà una relazione.","I said that there will be a report from the most authoritative international organisation.","it","en","","","influential, respected"
"autorevolezza","authority","Il problema principale è la mancanza di autorevolezza.","He then explained that the main problem is the lack of authority.","it","en","","","authoritativeness, prestige"
"avamposto","outpost","Da questo avamposto proviamo a stimolare una conversazione transnazionale.","From this outpost, we are trying to stimulate transnational conversation.","it","en","","","post, stronghold"
"avanti","forward","Cercavo di portare la discussione avanti.","I was trying to move the argument forward.","it","en","","",""
"avanzo","surplus","Io sgobbo, faccio girare il motore degli altri ma non avanzo.","I slog, I turn the engine the other but not surplus.","it","en","","",""
"avvenire","take place","Il riarrangiamento può avvenire con meccanismo ionico o radicalico.","This rearrangement may take place by a radical or ionic mechanism.","it","en","","","happen, occur"
"avventato","reckless","È avventato al limite del suicidio.","He's reckless to the point of suicidal.","it","en","","","rash, hasty"
"avversario","opponent","Sarà difficile contrastare il tuo avversario.","It may be difficult to handle your opponent.","it","en","","",""
"avvertire","warn","Vi devo avvertire... non sarà facile.","Well, just let me warn you, this won't be easy.","it","en","","","feel, experience"
"avvicinare","bring","Cercheremo di avvicinare alcuni di essi in maniera intelligente.","We aim to bring some of them closer together in a smart way.","it","en","","","approach, introduce"
"avvilito","depressed","Sono sempre messo sotto processo, avvilito.","I'm always on trial, I'm depressed.","it","en","","","miserable, dejected"
"avvincente","compelling","No, è solo che il suo discorso lo trovo avvincente.","No. I just find her speech compelling.","it","en","","https://classroom.italki.com/r/1357326278","exciting, addictive"
"avvolgere","wrap","Arrotolare, avvolgere, lasciare raffreddare.","Roll up, wrap, leave to cool.","it","en","","","envelop, envelope"
"avvolto","wrapped","Sembra fosse avvolto intorno a qualcosa.","It appears to have been wrapped around something.","it","en","","","enveloped, surrounded"
"azienda","company","Perché non ti venderemo l'azienda.","Because we're not selling you the company.","it","en","","","business, farm"
"azzardare","dare","E non t'azzardare a lasciarli qui.","And you would just dare to leave them.","it","en","","","venture, hazard"
"azzardarsi","dare","Ha trascorso un decennio a rinunciare alla speranza e non riesce ad azzardarsi di farla ritornare nella sua vita.","She spent a decade abandoning hope and cannot dare letting it back into her life.","it","en","","",""
"azzeccare","guess","Bisogna fare un buon programma, spiegarlo alla popolazione ma anche ""azzeccare"" la squadra.","We need to make a good programme, explain it to the people and also successfully ""guess"" the right team.","it","en","ha azzeccato","https://classroom.italki.com/r/3121345678","get right, ..."
"azzeccato","guessed","Solo perché aveva azzeccato sei numeri... mentre lei no.","Just because he guessed six numbers, and you didn't.","it","en","","",""
"azzeramento","reset","Altrimenti saranno persi dopo l'azzeramento.","Otherwise they will be lost after the reset.","it","en","","",""
"bagliore","glow","Abbiamo usato materiali emittenti per creare un bagliore realistico.","We used emissive materials to create the realistic glow on them.","it","en","","",""
"bagnare","wet","Scusa, non volevo farti bagnare.","Sorry. I don't want to get you wet.","it","en","","","soak, bathe"
"bagnato","wet","Dovrai lavarti con un panno bagnato.","You'll have to wash with a wet rag.","it","en","","","bathed, soaked"
"bandire","ban","Li abbiamo dovuti bandire dalle biblioteche.","We had to ban them from the libraries.","it","en","","","banish, outlaw"
"barattare","trade","Potremmo barattare un pacchetto di sigarette con un po' di stagnola.","Say... maybe we can trade a pack of cigarettes in for tinfoil.","it","en","","","barter, exchange"
"barrare","tick","Si tratta di una semplice casella sì/no da barrare.","This is a simple yes/no tick box.","it","en","","","cross out, strike through"
"basso","low","Vedo che tiene un basso profilo.","Nice to see you keeping a low profile.","it","en","","",""
"bastare","be enough","Quelle tre parole e mezzo potrebbero bastare.","Those three words and a half could be enough.","it","en","","","suffice, be sufficient"
"basti","just","Sono sicura che mi basti riposare.","I'm sure if I just rest.","it","en","","","suffice it to, suffice to"
"bellezza","beauty","Non parlerò più della tua bellezza.","I won't talk about your beauty anymore.","it","en","","","beautiful, baby"
"benché","although","E quste memorie, benché ben scritte non son un bestseller.","And this memoir, although well written, it's not a bestseller.","it","en","","","though, despite"
"bersaglio","target","Non dobbiamo offrirgli un bersaglio immobile.","We don't want to give them a stationary target.","it","en","","",""
"bivio","crossroad","Mi trovo a un bivio, aiutatemi.","I'm at a crossroad, please help me.","it","en","","","fork, junction"
"bloccarsi","crash","App potrebbe bloccarsi quando la pagina scorre, mentre nota viene salvata.","App could crash when page is scrolling while note is being saved.","it","en","","","hang, freeze"
"borraccia","water bottle","Devo aver lasciato lì la mia borraccia.","I must have left my water bottle.","it","en","","https://classroom.italki.com/r/2122345678","canteen, flask"
"bosco","wood","Dicci perché siete andati nel bosco.","Tell us why you went to the wood.","it","en","","",""
"bozza","draft","Non potrai recuperare la bozza dopo averla eliminata.","You won't be able to recover the draft once you've discarded it.","it","en","","","outline, sketch"
"breve","short","Forse perché abbiamo tutti vita breve.","Perhaps it's because we all have such short lives.","it","en","","","brief, shorter"
"bruscamente","abruptly","Non strofinare la pelle troppo e bruscamente.","Do not rub your skin too much and abruptly.","it","en","","",""
"bufala","buffalo","Rappresentativo è il caso delle mozzarelle di bufala campana alla diossina.","This situation is typified by the case of the buffalo mozzarella contaminated with dioxin.","it","en","","","hoax, bufala"
"burrascoso","stormy","Ho affrontato un periodo burrascoso, pieno di impegni.","I've faced a stormy period, full of engagements.","it","en","","",""
"bussola","compass","Non vorrei sbilanciarmi senza una bussola.","I would hate to commit myself without my compass.","it","en","","","socket, bush"
"buttare giù","knock down","Ci sono tanti altri birilli da buttare giù.","You're trying to knock down a lot of pins.","it","en","","","throw down, break down"
"buttare via","miss","Non vuoi buttare via il vino.","You don't want to miss the wine.","it","en","","",""
"caccia","hunting","La caccia è compito delle leonesse.","It's the lionesses' job to do the hunting.","it","en","","",""
"cacciare","hunt","Allora dobbiamo cacciare queste creature e ucciderle.","You must hunt the creatures down - and kill them.","it","en","","","kick, chase"
"calco","cast","Ho mandato un calco al laboratorio.","I sent a cast to the lab.","it","en","","","mold, mould"
"caldo torrido","scorching heat","Il caldo torrido non aiuta affatto.","The scorching heat doesn't help either.","it","en","","","torrid heat, hot weather"
