voi fare (cong. pres.),facciate
lui/lei fare (cong. pres.),faccia
io volere (imp. ind.),volevo
noi essere (fut. semp.),saremo
noi sapere (cong. pres.),sappiamo
io scegliere (imp. ind.),sceglievo
loro parlare (pres. ind.),parlano
loro scrivere (fut. semp.),scriveranno
tu fare (cong. pres.),faccia
io supporre (cong. pres.),supponga
io essere (imp. ind.),ero
loro scegliere (imp. ind.),sceglievano
io sapere (fut. semp.),saprò
loro finire (cond. pres.),finirebbero
lui/lei scrivere (fut. semp.),scriverà
loro scegliere (cong. pres.),scelgano
io bere (cong. imp.),bevessi
io finire (fut. semp.),finirò
tu dovere (fut. semp.),dovrai
tu dire (cong. imp.),dicessi
voi parlare (cong. pres.),parliate
loro scrivere (cong. imp.),scrivessero
lui/lei dormire (cong. pres.),dorma
voi rimanere (fut. semp.),rimarrete
loro venire (imp. ind.),venivano
loro morire (pres. ind.),muoiono
lui/lei volere (imp. ind.),voleva
loro essere (cond. pres.),sarebbero
tu dire (imp. ind.),dicevi
io parlare (imp. ind.),parlavo
io scrivere (cond. pres.),scriverei
loro essere (pres. ind.),sono
voi supporre (cond. pres.),supporreste
lui/lei parlare (pres. ind.),parla
tu uscire (cong. pres.),esca
tu parlare (pres. ind.),parli
lui/lei andare (imp. ind.),andava
loro andare (imp. ind.),andavano
noi scrivere (fut. semp.),scriveremo
lui/lei andare (cong. pres.),vada
noi morire (cong. pres.),moriamo
lui/lei dire (cong. imp.),dicesse
lui/lei bere (cond. pres.),berrebbe
tu tradurre (cong. pres.),traduca
tu parlare (cond. pres.),parleresti
io tradurre (fut. semp.),tradurrò
tu dare (imp. ind.),davi
noi potere (imp. ind.),potevamo
voi venire (fut. semp.),verrete
noi uscire (imp. ind.),uscivamo
voi essere (fut. semp.),sarete
lui/lei essere (cong. pres.),sia
loro uscire (imp. ind.),uscivano
lui/lei sapere (cong. pres.),sappia
voi tradurre (imp. ind.),traducevate
loro dire (cong. imp.),dicessero
tu bere (imp. ind.),bevevi
io parlare (pres. ind.),parlo
noi bere (fut. semp.),berremo
io volere (pres. ind.),voglio
noi andare (fut. semp.),andremo
loro andare (cong. pres.),vadano
tu morire (cong. pres.),muoia
lui/lei scrivere (cong. imp.),scrivesse
lui/lei scegliere (imp. ind.),sceglieva
io bere (imp. ind.),bevevo
noi dire (cong. imp.),dicessimo
lui/lei dare (cong. pres.),dia
voi stare (cong. imp.),steste
lui/lei volere (fut. semp.),vorrà
lui/lei finire (fut. semp.),finirà
noi essere (pres. ind.),siamo
tu supporre (imp. ind.),supponevi
noi bere (cong. imp.),bevessimo
io sapere (cond. pres.),saprei
tu dovere (pres. ind.),devi
voi rimanere (cong. pres.),rimaniate
noi potere (fut. semp.),potremo
noi dire (imp. ind.),dicevamo
noi dare (imp. ind.),davamo
io parlare (fut. semp.),parlerò
noi fare (cong. pres.),facciamo
noi dire (imp. ind.),dicevamo
tu essere (fut. semp.),sarai
noi scrivere (cong. imp.),scrivessimo
tu sapere (imp. ind.),sapevi
lui/lei essere (cong. imp.),fosse
lui/lei venire (cong. pres.),venga
tu dire (pres. ind.),dici
tu andare (imp. ind.),andavi
io essere (cong. imp.),fossi
loro parlare (cong. imp.),parlassero
tu avere (pres. ind.),hai
voi fare (cong. imp.),faceste
lui/lei rimanere (pres. ind.),rimane
voi dare (imp. ind.),davate
tu fare (imp. ind.),facevi
noi finire (cond. pres.),finiremmo
noi parlare (fut. semp.),parleremo
tu andare (pres. ind.),vai
voi dovere (fut. semp.),dovrete
noi finire (imp. ind.),finivamo
noi scegliere (pres. ind.),scegliamo
voi tradurre (fut. semp.),tradurrete
voi venire (cong. pres.),veniate
tu finire (cong. pres.),finisca
voi uscire (cong. pres.),usciate
lui/lei fare (imp. ind.),faceva
lui/lei uscire (imp. ind.),usciva
loro fare (imp. ind.),facevano
voi fare (pres. ind.),fate
loro andare (cond. pres.),andrebbero
voi sapere (cond. pres.),sapreste
lui/lei fare (imp. ind.),faceva
loro rimanere (pres. ind.),rimangono
loro essere (cong. imp.),fossero
lui/lei supporre (cong. imp.),supponesse
voi supporre (cong. pres.),supponiate
voi avere (fut. semp.),avrete
tu dire (cong. pres.),dica
io scrivere (imp. ind.),scrivevo
loro sapere (pres. ind.),sanno
noi tradurre (fut. semp.),tradurremo
voi avere (cong. imp.),aveste
tu uscire (imp. ind.),uscivi
noi dormire (cong. pres.),dormiamo
io parlare (cong. pres.),parli
tu essere (cong. pres.),sia
io uscire (imp. ind.),uscivo
tu avere (fut. semp.),avrai
io tradurre (cong. imp.),traducessi
io essere (pres. ind.),sono
voi finire (cong. imp.),finiste
io rimanere (imp. ind.),rimanevo
noi venire (fut. semp.),verremo
loro fare (cong. imp.),facessero
io potere (imp. ind.),potevo
noi tradurre (cong. pres.),traduciamo
loro andare (fut. semp.),andranno
io dire (pres. ind.),dico
noi potere (pres. ind.),possiamo
tu avere (cond. pres.),avresti
voi scrivere (imp. ind.),scrivevate
noi avere (fut. semp.),avremo
noi supporre (cond. pres.),supporremmo
tu potere (cond. pres.),potresti
tu dare (cong. imp.),dessi
noi supporre (cong. imp.),supponessimo
tu rimanere (cond. pres.),rimarresti
loro supporre (cong. pres.),suppongano
tu andare (fut. semp.),andrai
io dovere (pres. ind.),devo
io andare (imp. ind.),andavo
loro venire (cong. pres.),vengano
tu parlare (cong. imp.),parlassi
io dare (cong. imp.),dessi
loro uscire (cong. pres.),escano
voi parlare (cond. pres.),parlereste
noi avere (pres. ind.),abbiamo
noi dare (pres. ind.),diamo
tu supporre (cong. pres.),supponga
noi uscire (pres. ind.),usciamo
tu sapere (fut. semp.),saprai
io tradurre (cong. pres.),traduca
voi uscire (pres. ind.),uscite
tu essere (cond. pres.),saresti
voi tradurre (cond. pres.),tradurreste
loro supporre (fut. semp.),supporranno
io rimanere (fut. semp.),rimarrò
io finire (cong. imp.),finissi
io andare (cong. pres.),vada
loro dovere (cong. pres.),debbano
noi tradurre (cond. pres.),tradurremmo
lui/lei rimanere (cong. pres.),rimanga
voi dare (pres. ind.),date
io rimanere (cond. pres.),rimarrei
loro volere (fut. semp.),vorranno
lui/lei dovere (cond. pres.),dovrebbe
voi volere (imp. ind.),volevate
lui/lei andare (pres. ind.),va
voi bere (imp. ind.),bevevate
tu venire (fut. semp.),verrai
lui/lei sapere (pres. ind.),sa
lui/lei finire (imp. ind.),finiva
noi parlare (cond. pres.),parleremmo
io avere (imp. ind.),avevo
io morire (pres. ind.),muoio
noi fare (imp. ind.),facevamo
noi parlare (pres. ind.),parliamo
noi volere (pres. ind.),vogliamo
io essere (fut. semp.),sarò
voi potere (fut. semp.),potrete
lui/lei sapere (cond. pres.),saprebbe
tu tradurre (fut. semp.),tradurrai
io essere (imp. ind.),ero
voi potere (cond. pres.),potreste
voi scrivere (cong. imp.),scriveste
io bere (cong. pres.),beva
loro dormire (cong. pres.),dormano
lui/lei scegliere (cong. pres.),scelga
lui/lei dovere (cong. pres.),debba
loro essere (imp. ind.),erano
loro andare (pres. ind.),vanno
io finire (imp. ind.),finivo
tu parlare (imp. ind.),parlavi
lui/lei avere (cong. imp.),avesse
voi dire (cong. pres.),diciate
tu bere (pres. ind.),bevi
lui/lei finire (cond. pres.),finirebbe
loro stare (cong. imp.),stessero
voi fare (imp. ind.),facevate
tu dare (cong. pres.),dia
lui/lei dire (imp. ind.),diceva
loro bere (imp. ind.),bevevano
io tradurre (imp. ind.),traducevo
loro finire (fut. semp.),finiranno
io supporre (cong. imp.),supponessi
lui/lei uscire (pres. ind.),esce
lui/lei bere (imp. ind.),beveva
loro parlare (imp. ind.),parlavano
loro bere (cong. pres.),bevano
loro potere (fut. semp.),potranno
tu avere (cong. imp.),avessi
loro supporre (imp. ind.),supponevano
loro dovere (cond. pres.),dovrebbero
tu potere (fut. semp.),potrai
tu bere (cong. pres.),beva
loro bere (imp. ind.),bevevano
noi bere (pres. ind.),beviamo
noi uscire (cong. pres.),usciamo
lui/lei dovere (fut. semp.),dovrà
lui/lei bere (cong. imp.),bevesse
io venire (pres. ind.),vengo
lui/lei rimanere (cond. pres.),rimarrebbe
loro parlare (fut. semp.),parleranno
io venire (cong. pres.),venga
io scegliere (pres. ind.),scelgo
tu dormire (cong. pres.),dorma
tu dire (imp. ind.),dicevi
lui/lei avere (imp. ind.),aveva
lui/lei avere (fut. semp.),avrà
loro sapere (fut. semp.),sapranno
voi scegliere (pres. ind.),scegliete
loro dire (imp. ind.),dicevano
voi avere (cond. pres.),avreste
tu scrivere (imp. ind.),scrivevi
tu potere (imp. ind.),potevi
noi essere (imp. ind.),eravamo
voi dovere (imp. ind.),dovevate
io rimanere (pres. ind.),rimango
noi supporre (cong. pres.),supponiamo
io sapere (pres. ind.),so
voi volere (fut. semp.),vorrete
noi potere (cond. pres.),potremmo
