"abbagliante","adj. (luce) dazzling"
"appassionato","adj. (giocatore, musicista) enthusiastic; (parole, appello, sguardo) passionate"
"appendiabiti","n. m. <inv> clothes hanger"
"appetito","n. m. appetite"
"darsi appuntamento","to arrange to meet (one another)"
"prendere un'appuntamento","to make an appointment"
"appuntamento","n. m. appointment; (amoroso) date"
"appunto","n. m. note"
"aquila","n. f. eagle"
"arachide","n. f. peanut"
"aragosta","n. f. crayfish; lobster"
"arancia","n. f. <-ce> orange"
"arbusto","n. m. shrub"
"archeologo (-a)","n. m. (f.) <-gi, -ghe> archaeologist"
"architetto (-a)","n. m. (f.) architect"
"argento","n. m. silver"
"argomento","n. m. topic; (materia, tema) subject"
"arma","n. f. <-i> weapon, arm"
"armadio","n. m. cupboard; (per abiti) closet"
"arrabbiato","adj. angry"
"arrivo","n. m. arrival"
"arrosto","n. m. <inv> roast"
"arte","n. f. art; (abilità) skill"
"articolo","n. m. article"
"artista","n. m./f. <-i, -e> artist"
"ascella","n. f. armpit"
"ascensore","n. m. elevator"
"asciugamano","n. m. towel"
"asciugatrice","n. f. (for laundry) dryer"
"ascoltatore (-trice)","n. m. (f.) listener"
"asino","n. m. donkey"
"aspetto","n. m. (apparenza) aspect, appearance, look; (punto di vista) point of view"
"aspirapolvere","n. m. <inv> vacuum cleaner"
"assenza","n. f. (da luogo) absence; (mancanza) lack"
"assicurazione","n. f. assurance; insurance"
"assurdo","adj. (comportamento, idea, storia) ridiculous"
"atleta","n. m./f. <-i, -e> athlete"
"attaccamento","n. m. (a persona, famiglia) attachment"
"atteggiamento","n. m. (disposizione mentale) attitude"
"attento","adj. (concentrato: interlocutore, ascolto) attentive; (accurato: analisi) careful"
"attenzione","n. f. (concentrazione) attention"
"attimo","n. m. moment"
"atto","n. m. (gesto) act, (azione) action"
"attrazione","n. f. attraction"
"attrezzatura","n. f. <no pl> equipment"
"attrezzo","n. m. tool"
"autista","n. m./f. (conducente) driver"
"autore (-trice)","n. m. (f.) (esecutore) author; (compositore) composer"
"autorità","n. f. <inv> authority"
"autostrada","n. f. highway"
"autunno","n. m. autumn"
"avocado","n. m. avocado"
"avventato","adj. (giudizio, atto) rash; (persona) reckless"
"avventura","n. f. adventure"
"avversario (-a)","n. m. (f.) opponent; (nemico) adversary"
"avviso","n. m. warning; notice"
"avvocato (-essa)","n. m. (.f) lawyer"
"azienda","n. f. firm, company"
"azzurro","adj. blue"
"azzurro","n. m. (colore) blue"
