"vi. to float","galleggiare; avere galleggiato"
"vt. (ingerire) to eat; (rosicchiare, corrodere) to eat away","mangiare; avere mangiato"
"to mumble","mangiarsi le parole"
"to bite one's nails","mangiarsi le unghie"
"vt. (promesso, calma, impegno, ordine) to keep; (figli, famiglia) to support, (casa, auto) to maintain","mantenere; avere mantenuto"
"vi. (dire il falso) to lie","mentire; avere mentito"
"vt. (premio, punizione) to deserve; (prezzo) to be worth; (valere la pena) to be worth","meritare; avere meritato"
"to take a lot of care","metterci molta cura"
"to take a lot of time","metterci molto tempo"
"to put in place, fix sth","mettere a posto qc"
"to set the beer down","mettere giù la birra"
"to doubt sth","mettere in dubbio qc"
"to put in order, tidy up sth","mettere in ordine qc"
"to put sth together","mettere insieme qc"
"to put the pizza on the table","mettere la pizza sul tavolo"
"to put sth away","mettere via qc"
"vt. <metto> (collocare: in luogo) to put, (in posizione) to place; (abito) to put on","mettere; avere messo"
"to be going to do sth, begin to do sth","mettersi a fare qc"
"vr. <metto> (in posizione) to put o.s.; (in condizione) to make o.s.; (indossare) to put on","mettersi; essersi messo"
"vt. (rendere migliore) to improve; vi. (diventare migliore) to improve; (stare meglio) to get better","migliorare; essere migliorato"
"vr. to improve o.s.","migliorarsi; essersi migliorato"
"vt. to threaten","minacciare; avere minacciato"
"vi. to aim (at)","mirare (a); avere mirato"
"vt./vi. (calcolare, moderare) to measure","misurare; avere misurato"
"vt. (cambiare) to modify, alter","modificare; avere modificato"
"vt. <mordo> (cane, vipera) to bite, (mela, panino) to bite into","mordere; avere morso"
"to be dying to do sth","morire dalla voglia di fare qc"
"to die of hunger","morire di fame"
"to die of boredom","morire di noia"
"to die of fright","morire di paura"
"to die from sth","morire di qc"
"to die of thirst","morire di sete"
"vi. <muoio> (persona, animale, progetto) to die; (fuoco, luce) to die out, (passione, speranza) to die off","morire; essere morto"
"vt. (far vedere) to show, display","mostrare; avere mostrato"
