tu tradurre (cong. imp.),traducessi
io dire (imp. ind.),dicevo
lui/lei sapere (fut. semp.),saprà
voi dare (cong. pres.),diate
tu essere (imp. ind.),eri
io scrivere (cong. imp.),scrivessi
voi supporre (cong. imp.),supponeste
lui/lei potere (fut. semp.),potrà
noi rimanere (imp. ind.),rimanevamo
noi tradurre (cong. imp.),traducessimo
tu avere (imp. ind.),avevi
lui/lei avere (pres. ind.),ha
lui/lei tradurre (cong. pres.),traduca
voi avere (pres. ind.),avete
lui/lei dare (cong. imp.),desse
voi essere (cong. pres.),siate
noi tradurre (imp. ind.),traducevamo
tu dare (pres. ind.),dai
loro essere (fut. semp.),saranno
io avere (fut. semp.),avrò
loro parlare (cong. pres.),parlino
tu fare (pres. ind.),fai
tu stare (cong. imp.),stessi
io scegliere (cong. pres.),scelga
voi dire (imp. ind.),dicevate
tu scrivere (fut. semp.),scriverai
voi bere (fut. semp.),berrete
io essere (cond. pres.),sarei
voi sapere (fut. semp.),saprete
lui/lei tradurre (cong. imp.),traducesse
tu essere (cong. imp.),fossi
io avere (cong. pres.),abbia
voi andare (pres. ind.),andate
noi dire (pres. ind.),diciamo
voi avere (imp. ind.),avevate
io potere (cond. pres.),potrei
loro bere (fut. semp.),berranno
io sapere (imp. ind.),sapevo
voi parlare (cong. imp.),parlaste
noi sapere (pres. ind.),sappiamo
noi scegliere (imp. ind.),sceglievamo
voi andare (fut. semp.),andrete
tu essere (imp. ind.),eri
loro scrivere (imp. ind.),scrivevano
io volere (cong. pres.),voglia
loro avere (cong. imp.),avessero
noi dovere (cong. pres.),dobbiamo
voi tradurre (cong. pres.),traduciate
voi dormire (cong. pres.),dormiate
lui/lei avere (cong. pres.),abbia
lui/lei dare (imp. ind.),dava
tu venire (pres. ind.),vieni
lui/lei essere (pres. ind.),è
loro fare (pres. ind.),fanno
io supporre (imp. ind.),supponevo
noi andare (cond. pres.),andremmo
voi volere (cong. pres.),vogliate
tu uscire (pres. ind.),esci
voi dire (pres. ind.),dite
io andare (cond. pres.),andrei
lui/lei dire (pres. ind.),dice
lui/lei scrivere (imp. ind.),scriveva
io bere (cond. pres.),berrei
loro essere (cong. pres.),siano
lui/lei scegliere (pres. ind.),sceglie
lui/lei mettere (cong. pres.),metta
voi supporre (fut. semp.),supporrete
loro mettere (cong. pres.),mettano
io tradurre (cond. pres.),tradurrei
io uscire (pres. ind.),esco
io dire (cong. imp.),dicessi
voi tradurre (cong. imp.),traduceste
loro volere (imp. ind.),volevano
voi potere (cong. pres.),possiate
noi dire (cong. pres.),diciamo
lui/lei parlare (cong. pres.),parli
loro potere (pres. ind.),possono
io bere (pres. ind.),bevo
io dare (imp. ind.),davo
lui/lei parlare (imp. ind.),parlava
voi bere (cong. pres.),beviate
voi essere (cong. imp.),foste
noi essere (imp. ind.),eravamo
noi stare (cong. imp.),stessimo
tu supporre (cond. pres.),supporresti
io parlare (cond. pres.),parlerei
noi morire (imp. ind.),morivamo
loro rimanere (cong. pres.),rimangano
tu volere (cong. pres.),voglia
voi dire (cong. imp.),diceste
voi rimanere (pres. ind.),rimanete
tu rimanere (fut. semp.),rimarrai
io fare (pres. ind.),faccio
io potere (fut. semp.),potrò
io dovere (cond. pres.),dovrei
noi avere (cong. imp.),avessimo
lui/lei scrivere (cond. pres.),scriverebbe
noi morire (pres. ind.),moriamo
loro scrivere (cond. pres.),scriverebbero
lui/lei essere (imp. ind.),era
lui/lei finire (cong. pres.),finisca
lui/lei bere (fut. semp.),berrà
tu bere (fut. semp.),berrai
tu venire (imp. ind.),venivi
io parlare (cong. imp.),parlassi
noi dare (cong. imp.),dessimo
voi bere (cong. imp.),beveste
noi potere (cong. pres.),possiamo
tu bere (cond. pres.),berresti
tu fare (imp. ind.),facevi
loro dare (pres. ind.),danno
loro bere (cond. pres.),berrebbero
voi potere (pres. ind.),potete
voi bere (imp. ind.),bevevate
noi volere (imp. ind.),volevamo
voi scrivere (cond. pres.),scrivereste
lui/lei dare (pres. ind.),dà
io dare (cong. pres.),dia
loro sapere (cond. pres.),saprebbero
voi dire (imp. ind.),dicevate
tu dovere (cond. pres.),dovresti
io venire (fut. semp.),verrò
lui/lei parlare (cong. imp.),parlasse
noi scegliere (cong. pres.),scegliamo
noi andare (cong. pres.),andiamo
loro dovere (imp. ind.),dovevano
tu potere (pres. ind.),puoi
tu scrivere (cond. pres.),scriveresti
lui/lei parlare (fut. semp.),parlerà
noi sapere (fut. semp.),sapremo
noi fare (imp. ind.),facevamo
tu rimanere (imp. ind.),rimanevi
io supporre (fut. semp.),supporrò
lui/lei sapere (imp. ind.),sapeva
tu finire (cong. imp.),finissi
loro tradurre (imp. ind.),traducevano
tu scegliere (pres. ind.),scegli
loro essere (imp. ind.),erano
tu rimanere (pres. ind.),rimani
noi parlare (cong. pres.),parliamo
noi venire (cong. pres.),veniamo
lui/lei parlare (cond. pres.),parlerebbe
tu tradurre (imp. ind.),traducevi
noi dovere (imp. ind.),dovevamo
lui/lei bere (pres. ind.),beve
voi parlare (pres. ind.),parlate
tu andare (cond. pres.),andresti
lui/lei potere (cong. pres.),possa
lui/lei andare (fut. semp.),andrà
io morire (imp. ind.),morivo
loro potere (cong. pres.),possano
lui/lei dire (imp. ind.),diceva
noi parlare (cong. imp.),parlassimo
loro rimanere (cond. pres.),rimarrebbero
lui/lei volere (pres. ind.),vuole
voi sapere (cong. pres.),sappiate
tu fare (cong. imp.),facessi
loro morire (imp. ind.),morivano
noi mettere (cong. pres.),mettiamo
loro dire (imp. ind.),dicevano
loro tradurre (cong. pres.),traducano
loro venire (fut. semp.),verranno
loro sapere (imp. ind.),sapevano
io mettere (cong. pres.),metta
loro venire (pres. ind.),vengono
noi avere (cond. pres.),avremmo
tu parlare (cong. pres.),parli
noi bere (cond. pres.),berremmo
tu scegliere (imp. ind.),sceglievi
tu sapere (cong. pres.),sappia
noi venire (pres. ind.),veniamo
io dovere (cong. pres.),debba
io fare (cong. imp.),facessi
lui/lei supporre (fut. semp.),supporrà
noi bere (imp. ind.),bevevamo
io bere (imp. ind.),bevevo
lui/lei potere (pres. ind.),può
loro finire (cong. imp.),finissero
lui/lei bere (cong. pres.),beva
noi essere (cong. pres.),siamo
noi rimanere (pres. ind.),rimaniamo
io volere (fut. semp.),vorrò
voi andare (imp. ind.),andavate
tu supporre (cong. imp.),supponessi
voi essere (pres. ind.),siete
io andare (fut. semp.),andrò
noi parlare (imp. ind.),parlavamo
noi venire (imp. ind.),venivamo
tu scegliere (cong. pres.),scelga
noi finire (fut. semp.),finiremo
lui/lei stare (cong. imp.),stesse
io venire (imp. ind.),venivo
lui/lei venire (fut. semp.),verrà
noi essere (cong. imp.),fossimo
voi bere (pres. ind.),bevete
tu rimanere (cong. pres.),rimanga
io dovere (imp. ind.),dovevo
noi essere (cond. pres.),saremmo
voi sapere (pres. ind.),sapete
tu venire (cong. pres.),venga
tu bere (cong. imp.),bevessi
loro dovere (pres. ind.),devono
voi scrivere (fut. semp.),scriverete
lui/lei rimanere (imp. ind.),rimaneva
tu andare (cong. pres.),vada
loro dare (imp. ind.),davano
lui/lei venire (pres. ind.),viene
tu tradurre (cond. pres.),tradurresti
loro tradurre (cond. pres.),tradurrebbero
loro avere (pres. ind.),hanno
noi rimanere (cong. pres.),rimaniamo
voi sapere (imp. ind.),sapevate
lui/lei morire (pres. ind.),muore
lui/lei finire (cong. imp.),finisse
loro rimanere (fut. semp.),rimarranno
io sapere (cong. pres.),sappia
lui/lei supporre (imp. ind.),supponeva
tu essere (pres. ind.),sei
noi avere (cong. pres.),abbiamo
voi morire (cong. pres.),moriate
voi venire (pres. ind.),venite
noi dovere (pres. ind.),dobbiamo
lui/lei dovere (imp. ind.),doveva
io bere (fut. semp.),berrò
noi andare (pres. ind.),andiamo
tu sapere (cond. pres.),sapresti
lui/lei fare (pres. ind.),fa
loro parlare (cond. pres.),parlerebbero
io fare (imp. ind.),facevo
lui/lei essere (imp. ind.),era
loro finire (cong. pres.),finiscano
voi avere (cong. pres.),abbiate
noi supporre (fut. semp.),supporremo
loro avere (cond. pres.),avrebbero
