"sentire","vt. (con le orecchie) to hear, (ascoltare) to listen to; (con il naso) to smell; (col gusto) to taste; (col tatto) to feel; (provare, accorgersi) to feel; (venire a sapere) to hear; avere sentito"
"sentirsi","vr. to feel; essersi sentito"
"separare","vt. (disgiungere) to separate; (tenere distinto) to distinguish; avere separato"
"separarsi","vr. (lasciarsi: coniugi) to separate, (amici, soci) to part company; essersi separato"
"seppellire","vt. <seppellisco> to bury; avere seppellito [o sepolto]"
"servire","vt. (gener) to serve, (come domestico) to work; vi. (essere utile) to be useful; MIL, SPORTS to serve; essere servito"
"servirsi","vr. (a tavola) to help oneself; (essere cliente) to shop; essersi servito"
"sfidare","vt. (gener) to challenge; (pericolo, morte) to defy; avere sfidato"
"sfogliare","vt. (libro, rivista) to flick through; avere sfogliato"
"sfuggire","vi. to escape; essere sfuggito"
"sgomentare","vt. to dismay; avere sgomentato"
"sgualcire","vt. <sgualcisco> (sciupare: abito) to crush; avere sgualcito"
"sistemare","vt. (mettere a posto) to tidy (up); (faccenda) to sort out; (procurare un lavoro) to fix up; (procurare un alloggio a) to put; (punire) to chew out; avere sistemato"
"sistemarsi","vr. (trovare lavoro) to find a job; (trovare alloggio) to find a place to stay; (sposarsi) to settle down; essersi sistemato"
"smaltire","vt. <smaltisco> (digerire: cibo) to digest; (far passare: sbornia, rabbia) to get over; (eliminare: acque) to drain away, (rifiuti) to dispose of; avere smaltito"
"smantellare","vt. (mura) to demolish, (fabbrica) to shut down; (tesi,accusa) to take apart; avere smantellato"
"smettere","vt. (interrompere: lavoro) to stop, (studi) to give up, (discussione) to end; vi. (cessare) to stop; avere smesso"
"sminuire","vt. <sminuisco> (svalutare) to belittle; avere sminuito"
"smontare","vt. (scomporre: scaffare, motore) to take apart; (scoraggiare) to dishearten; essere smontato"
"smontare","vi. (scendere: da treno) to get off, (da cavallo) to dismount; (di turno, lavoro) to finish; essere smontato"
"smontarsi","vr. (scoraggiarsi) to lose heart; essersi smontato"
"soddisfare","vt. to satisfy; avere soddisfatto"
"soffiare","vi. to blow; avere soffiato"
"soffiare","vt. (aria, fumo, vetro) to blow; (portar via) to steal, to swipe; (spifferare: segreto) to whisper; avere soffiato"
"soffrire","vt. <soffro> (patire) to suffer; (sopportare) to bear; vi. <soffro> (patire) to suffer; avere sofferto"
"soggiogare","vt. (sottomettere) to subjugate; avere soggiogato"
"sognare","vt. (vedere in sogno) to dream; (desiderare) to dream of; avere sognato"
"somigliare","vi. (essere simile) to look like; avere somigliato"
"somigliarsi","vr. (essere simile: fisicamente) to look alike, (di carattere) to be alike; essersi somigliato"
"sopportare","vt. (peso, sofferenza, spese) to bear; (persona, caldo, freddo) to stand; avere sopportato"
"sopravvivere","vi. (ricordo) to live on; essere sopravvissuto"
"sorgere","vi. <sorgo> (gener) to rise; (manifestarsi) to arise; essere sorto"
"sorprendere","vt. (stupire) to surprise; avere sorpreso"
"sorridere","vi. (ridere) to smile; (apparire favorevole) to smile on; avere sorriso"
"sospendere","vt. (appendere) to hang; (gener) to suspend; avere sospeso"
"sostenere","vt. (reggere) to hold up; (spese) to bear; (persona, legge, famiglia) to support, (tesi, idea) to hold; (esame) to take; (affermare) to maintain; avere sostenuto"
"sostenersi","vr. (tenersi ritto) to support oneself; (mantenersi vigoroso) to keep in good shape; essersi sostenuto"
"sottomettere","vt. (popolo) to subjugate; avere sottomesso"
"sottomettersi","vr. (assogettarsi) to submit; essersi sottomesso"
"spalancare","vt. (porta, finestra) to fling open; (occhi, bocca, braccia) to open wide, (gambe) to spread; avere spalancato"
"spalancarsi","vr. (aprirsi) to open wide; essersi spalancato"
"spalmare","vt. to spread; avere spalmato"
"spargere","vt. <spargo> (semi, fiori) to scatter; (luce, calore, notizia) to spread; (liquidi) to spill, (lacrime, sangue) to shed; avere sparso"
"spargersi","vr. <spargo> (persone, animali) to scatter; (notizie, dicerie) to spread; essersi sparso"
"sparire","vi. <sparisco> to disappear; essere sparito"
"spedire","vt. <spedisco> (inviare) to send; avere spedito"
"spegnere","vt. <spengo> (fuoco, fiamma, sigaretta) to put out; (luce, radio, motore, apparecchio) to turn off; (entusiasmo) to extinguish; (sete) to quench; avere spento"
"spegnersi","vr. <spengo> (fuoco, sigaretta) to go out; (motore, apparecchio) to go off; (entusiasmo) to fizzle out; (morire) to pass away; essersi spento"
"spendere","vt. <spendo> (soldi, tempo) to spend; (impiegare: energie, forze) to expend; avere speso"
"sperare","vt. to hope; avere sperato"
"spezzare","vt. (rompere) to break; avere spezzato"
"spezzarsi","vr. (rompersi) to break; essersi spezzato"
"spiegare","vt. (far capire) to explain; (tovaglia, cartina) to unfold; (ali, vele) to spread; MIL (truppe) to deploy; avere spiegato"
"spiegarsi","vr. (chiarirsi) to explain (oneself), (con un'altra persona) to sort things out; essersi spiegato"
"spingere","vt. <spingo> (spostare) to push; (premere) to press; (fare ressa) to push and shove; avere spinto"
"spingersi","vr. <spingo> (inoltrarsi) to go on; essersi spinto"
"spogliare","vt. (svestire) to undress; (derubare) to strip; avere spogliato"
"spogliarsi","vr. (svestirsi) to undress; essersi spogliato"
"sposare","vt. (gener) to marry; (dare in moglie o marito) to marry (off); (causa, lavoro) to be wedded to; avere sposato"
"sprecare","vt. (tempo, denaro) to waste; avere sprecato"
"sprecarsi","vr. to exert oneself; essersi sprecato"
"sprigionare","vt. (emettere) to give off; avere sprigionato"
"sprigionarsi","vr. (uscire: calore, fumo) to come out of; essersi sprigionato"
"sprofondare","vi. (pavimento, casa) to collapse; (affondare) to sink; essere sprofondato"
"sprofondarsi","vr. (lasciarsi andare) to collapse; (immergersi) to bury oneself; essersi sprofondato"
"squillare","vi. (trombe) to sound; (telefono, campanello) to ring; essere squillato"
"sradicare","vt. (pianta) to uproot; (vizio, male) to root out; avere sradicato"
"stabilire","vt. <stabilisco> (dimora, sede) to set up; (decidere) to establish; avere stabilito"
"stabilirsi","vr. <stabilisco> (prendere dimora) to set up home; essersi stabilito"
"staccare","vt. (francobollo, etichetta) to remove; (quadro) to take down, (bottone) to take off; RAIL (vagone) to detach; (assegno, ricevuta) to write; SPORTS to outdistance; (parole, sillabe) to articulate; vi. (finire di lavorare) to knock off; avere staccato"
"staccarsi","vr. (allontanarsi) to detach oneself; essersi staccato"
"stare","vi. <sto> (restare) to stay; (trovarsi) to be; (abitare) to live; (di salute) to be; (colore, indumento) to suit; (resistere) to take; (entrarci) to fit; essere stato"
"stentare","vi. (faticare) to have difficulty; avere stentato"
"stimare","vt. COMM to value; (persona) to esteem; avere stimato"
"stordire","vt. <stordisco> (provocare confusione) to daze; avere stordito"
"stramazzare","vi. (cadere) to collapse; essere stramazzato"
"strappare","vt. (ramo, fiore) to break off, (pagina) to tear out, (carta) to tear up; (cuore) to break, (promessa, confessione) to extract; avere strappato"
"strapparsi","vr. (lacerarsi) to break; essersi strappato"
"stregare","vt. to bewitch; avere stregato"
"stringere","vt. <stringo> (serrare) to squeeze (together); (vite) to tighten; (denti, pugni) to clench; (vestito) to take in; (riassumere) to condense; avere stretto"
"studiare","vt. (per imparare qc) to study; (esaminare, indagare) to examine; (parole, mosse) to weigh; avere studiato"
"studiarsi","vr. (osservarsi) to weigh each other up; essersi studiato"
"stupire","vt. <stupisco> (meravigliare) to amaze; essere stupito"
"stupirsi","vr. <stupisco> (meravigliarsi) to be amazed; essersi stupito"
"subire","vt. <subisco> (ingiuria, danni, conseguenze) to suffer; avere subito"
"succedere","vi. <succedo> (avvenire) to happen; essere successo"
"sudare","vi. to sweat; avere sudato"
"suggerire","vt. <suggerisco> THEAT to prompt; (consigliare) to suggest; avere suggerito"
"suonare","vt. MUS to play; (orologio) to strike, (campana, campanello) to ring; vi. (campana, telefono) to ring, (sveglia) to go off; MUS to play; (parole, frasi) to sound; essere suonato"
"supporre","vt. to suppose; avere"
"suscitare","vt. (reazione, odio, entusiasmo) to arouse; avere suscitato"
"svanire","vi. <svanisco> to disappear; essere svanito"
"svegliare","vt. (dal sonno) to wake (up); (animare: persone) to liven up; (suscitare: emozioni) to awaken; avere svegliato"
"svegliarsi","vr. to wake up; essersi svegliato"
"svelare","vt. (segreto, verità) to reveal; avere svelato"
"svenire","vi. to faint; essere svenuto"
"sviscerare","vt. (argomento, questione) to analyze in depth; avere sviscerato"
"svolgere","vt. (gomitolo) to unwind; (idea, tema) to set out, (programma, piano) to carry out; (lavoro) to do; avere svoluto"
"svolgersi","vr. (accadere) to happen; THEAT, LIT to be set; essersi svolguto"
"svuotare","vt. (vuotare) to empty; avere svuotato"
