"illudere","vt. <illudo> to deceive, delude; avere illuso"
"inciampare in qc","to trip over sth"
"incitare","vt. to urge; avere incitato"
"includere","vt. <includo> (comprendere) to include; (in busta, lettera) to enclose; avere incluso"
"incontrare","vt. (per appuntamento) to meet, (per caso) to bump into; (difficoltà, problema) to come up against, (favore) to win over; SPORTS (avversario, squadra) to meet; avere incontrato"
"incontrare qn per caso","to bump into sb"
"incontrarsi","vr. (per appuntamento) to meet each other, (per caso) to bump into each other; SPORTS to meet each other; (strade, fiumi) to meet up; essersi incontrato"
"indagare","vi. to investigate; avere indagato"
"indebolire","vt. <indebolisco> (persona) to weaken, (vista, udito) to worsen; (autorità, capacità) to weaken; essere indebolito"
"indebolirsi","vr. <indebolisco> (persona, autorità, capacità) to grow weak, (vista, udito) to worsen; essersi indebolito"
"indicare","vt. (con parole) to show, (con gesto) to point out; (strumento, segnale) to indicate, (orologio) to say, (etichetta, istruzioni) to explain; (consigliare) to recommend; (rivelare) to indicate, (vocabolo) to indicate; avere indicato"
"individuare","vt. (colpevole) to identify, (obiettivo) to locate; (causa, guasto) to identify; avere individuato"
"indovinare","vt. (intuire) to guess, (risultato, gusti) to predict, (soluzione, risposta) to get right; (scegliere bene) to choose well; avere indovinato"
"infastidire","vt. <infastidisco> to bother; avere infastidito"
"infastidirsi","vr. <infastidisco> to get annoyed, irritated; essersi infastidito"
"infastidirsi per qc","to get annoyed with sth"
"infilare","vt. (ago, perle) to thread; (indumento) to put on; avere infilato"
"infilare qc in qc","to put sth in sth"
"infilarsi","vr. (indumento) to put on, slip on; essersi infilato"
"infilarsi in qc","to get into sth"
"influenzare","vt. to influence; avere influenzato"
"infondere","vt. <infondo> (coraggio, fiducia) to give; avere infuso"
"informare","vt. (con notizie) to tell; avere informato"
"informare qu (di [o su] qc)","to tell sb (about sth)"
"informarsi","vr. to keep o.s. up-to-date; essersi informato"
"informarsi su di qc","to inquire about sth"
"inghiottire","vt. <inghiottisco [o inghiotto]> to swallow; avere inghiottito"
"inginocchiarsi","vr. (piegarsi) to kneel down; essersi inginocchiato"
"ingrassare","vt. (animale) to fatten; (persona) to make fat; (ingranaggio, motore) to grease; vi. (diventare grasso) to put on weight; essere ingrassato"
"ingrassarsi","vr. (diventare grasso) to put on weight; essersi ingrassato"
"innalzare","vt. (calice, bandiera) to raise; (antenna, palo) to erect; (livello, temperatura) to raise; avere innalzato"
"innalzarsi","vr. to rise; essersi innalzato"
"inquinare","vt. eco to pollute; avere inquinato"
"insistere","vi. <insisto> to insist; avere insistito"
"insistere su qc","to insist on sth"
"insistere in qc","to persist in sth"
"intendere","vt. <intendo> (capire) to understand; (udire) to hear; (accettare) to listen to; (volere) to wish; (voler dire) to mean; avere inteso"
"intendersi","vr. <intendo> (andare d'accordo) to get along; (accordarsi, capirsi) to understand each other; essersi inteso"
"interagire","vi. <interagisco> to interact; avere interagito"
"interferire","vi. <interferisco> PHYS (elementi, fattori) to interfere; (persona) to interfere; avere interferito"
"interrompere","vt. <interrompo> (lavoro, trattativa, persona) to interrupt; (strada, passaggio, linea, corrente) to cut off; avere interrotto"
"interrompersi","vr. <interrompo> (in attività) to break off, (nel parlare) to stop talking; (trattativa) to be interrupted; (linea, corrente, strada) to be cut off; essersi interrotto"
"intervenire","vi. <intervengo> (intromettersi) to intervene; (parlare) to intervene; MED to operate; essere intervenuto"
"intervenire in qc","to intervene in sth"
"introdurre","vt. <introduco> (chiave, moneta, scheda) to put; (prodotto, moda, uso) to introduce, (legge, riforma) to bring in; (discorso, tema) to start; (persona) to show; LING to introduce; avere introdotto"
"introdurre qu in qc","to introduce sb into sth"
"introdurre qu a qc","to introduce sb to sth"
"introdursi","vr. <introduco> (penetrare) to enter, get in; (furtivamente) to sneak in, slip in; essersi introdotto"
"introdursi in qc","to enter sth"
"invadere","vt. <invado> (territorio, paese) to invade; (folla) to invade, (animali, piante) to take over, (acque) to flood; (malattia) to infect, (prodotto, moda) to flood; avere invaso"
"invidiare","vt. (persona) to envy; (cosa) to envy; avere invidiato"
"invitare","vt. (a cena, festa) to invite; (esortare) to ask; (invogliare) to tempt; avere invitato"
