"scatenare","vt. (reazione, rabbia) to suddenly give rise to, provoke; to unleash; avere scantenato"
"sceneggiatura","n. f. screenplay"
"schiuma","n. f. foam; froth"
"scia","n. f. wake (of a boat); trail, wake, footsteps"
"scomparire","vi. (sparire) to disppeared, vanish; essere scomparso"
"scondito","adj. plain, unseasoned"
"scontrino","n. m. receipt, ticket, slip"
"scontro","n. m. crash, collision"
"secco","adj. (asciutto) dry, arid; (disseccato) dried"
"serie", "n. f. <inv> (pl. le serie) (tv) series"
"sfacciato","adj. insolent, cheeky, brazen"
"sfasamento","n. m. the difference in the pase of two waves; confusion, bewilderment"
"sfatare","vt. to prove to be false; to bust; avere sfatato"
"sfornare","vt. to take out of the oven/furnace; (idiomatic: film) to churn, crank out; avere sfornato"
"sgominare","vt. (sconfiggere) to defeat, overcome; to rout"
"sicuro","adj. safe, secure; reliable; (certo) certain. sure"
"simile a","prep. like; similar to"
"sintetico","adj. <-ci, -che> synthetic; (conisco, breve) concise, succint"
"smistamento","n. m. sorting, routing"
"smistare","vt. to sort (mail); to shunt (railroad cars); avere smistato"
"socio","m. m. member, partner"
"soffrire","vt. suffer, feel, go through; to undergo; to bear, put up with; avere sofferto"
"solitudine","n. f. solitude, lonliness"
"soprannominare","vt. to nickname; avere soprannominato"
"sorteggio","n. m. random choice by chance; (lotteria) draw"
"sottobanco","adv. under the counter"
"sottoveste","n. f. petticoat, slip"
"spaesamento","n. m. disorientation"
"sparire","vi. <sparisco> (scomparire) to disappear; (dissoversi) to vanish; (andarsene) to go away; esere sparso"
"spartiacque","n. f. <inv> fig. (momento) watershed, turning point"
"spiffero","n. m. (aria) draft"
"spingere","vt. to push, shove; avere spinto"
"spudorato","adj. shameless"
"spumante","n. m. sparkling wine"
"spuntino","n. m. (merenda) snack"
"stabilire","vt. <stabilisco> to establish; (fissare: prezzi, data) to set"
"striscia","n. f. strip, band"
"subire","vt. <subisco> (essere sottoposto a) to undergo, go through; (partire) to suffer, experience"
"suggerimento","n. m. (consiglio, indicazione) suggestion, tip, hint"
"sulla scia di","in the wake of, following the footsteps of"
"suscitare","vt. to provoke; to arouse; avere suscitato"
"sviluppatore (-trice)","n m. (f.) developer"
"sviluppo","n. m. development"
"tappa","n. f. stage, leg, lap"
"tasso","n. m. rate, level, percentage"
"tenacia","n. f. tenacity"
"tenere duro","vi. (stringere i denti) to resist tenaciously; to refuse to give up; to hold out; avere tenuto duro"
"tenere traccia (di)","v. to keep track (of)"
"tessuto","adj. woven"
"tessuto","n. m. textile, fabric, material"
"toccante","adj. (commovente, emozionante) touching"
"toccata e fuga","n. f. hit and run, in and out"
"torbido","adj. (l'acqua) cloudy, muddy"
"tossicodipendenza","n. f. drug addiction"
"traccia","n. m. track, trace, sign, trail"
"trafficato","adj. (di una strada) busy with traffic"
"traversata","n. f. (nave) crossing, (aereo) flight"
"travolgere","vt. (spazzare via) to sweep away, (investire) run over; fig. (sopraffare) to overwhelm; avere travolto"
"trucco","n. m. (cosmetico) makeup; (inganno) trick, sham"
"truffa","n. f. fraud, swindle, scam"
"tuffo","n. m. (tuffata) dive, plunge"
"tuono","n. m. thunder, rumble; loud roaring noise"
"un occhio della testa","n. m. (pagare, costare) to pay/cost an arm and a leg"
"una persona invadente","n. f. (nosey) an intrusive person"
"vantarsi (di)","vr. to boast (about), brag (about); essesrsi vantato"
"vanto","n. m. boast; vaunt"
"veicolare","vt. to transmit; fig. (idea) to spread"
"vicenda","n. f. affair, event, story"
"vigliacco","adj. cowardly; contemptible"
"vigliacco","n. m. coward; rouge, scoundrel"
"volto","n. m. (faccia, viso) face"
"vuoto","n. m. gap, vacuum, void"
"l'auricolare","m. (earbud) accessorio degli apparecchi radioriceventi o di riproduzione del suono che, applicato all'orecchio, ne consente l'ascolto individuale"
"il finestrino","m. <diminutivo di finestra> (small window: car, plane, boat) apertura per aerazione e illuminazione"
