"ibrido","n. m. hybrid"
"infilarsi","vr. (indumento) to put on; essersi infilato"
"influenzare","vt. to influence; avere influenzato"
"infondere","vt. <infondo> (coraggio, fiducia) to give; avere infuso"
"informare","vt. (con notizie) to tell; avere informato"
"informarsi","vr. to keep oneself up-to-date; essersi informato"
"inghiottire","vt. <inghiottisco [o inghiotto]> to swallow; avere inghiottito"
"inginocchiarsi","vr. (piegarsi) to kneel down; essersi inginocchiato"
"ingrassare","vt. (animale) to fatten; (persona) to make fat; (ingranaggio, motore) to grease; essere ingrassato"
"ingrassare","vi. (diventare grasso) to put on weight; essere ingrassato"
"ingrassarsi","vr. (diventare grasso) to put on weight; essersi ingrassato"
"innalzare","vt. (calice, bandiera) to raise; (antenna, palo) to erect; (livello, temperatura) to raise; avere innalzato"
"innalzarsi","vr. to rise; essersi innalzato"
"innamorato","n. m. boyfriend <span class=genus""><acronym title=""masculine"">m</acronym></span>","girlfriend <span class=""genus""><acronym title=""feminine"">f</acronym></span>"""
"inoltre","adv. furthermore"
"inquinamento","n. m. eco pollution"
"inquinare","vt. eco to pollute; avere inquinato"
"insistere","vi. <insisto> ; avere insistito"
"insolito","n. m."
"intanto","adv. (temporale) in the meantime; (avversativo) yet"
"intendere","vt. <intendo> (capire) to understand; (udire) to hear; (accettare) to listen to; (volere) to wish; (voler dire) to mean; avere inteso"
"intendersi","vr. <intendo> (andare d'accordo) to get along; (accordarsi, capirsi) to understand each other; essersi inteso"
"interagire","vi. <interagisco> ; avere interagito"
"interferire","vi. <interferisco> PHYS (elementi, fattori) to interfere; (persona) to interfere; avere interferito"
"intero","n. m. whole"
"interrompere","vt. <interrompo> (lavoro, trattativa, persona) to interrupt; (strada, passaggio, linea, corrente) to cut off; avere interrotto"
"interrompersi","vr. <interrompo> (in attività) to break off, (nel parlare) to stop talking; (trattativa) to be interrupted; (linea, corrente, strada) to be cut off; essersi interrotto"
"intervenire","vi. <intervengo> (intromettersi) to intervene; (parlare) to intervene; MED to operate; essere intervenuto"
"intervenire","vi. <intervengo> (intromettersi) to intervene; (parlare) to intervene; MED to operate; essere intervenuto"
"intervento","n. m. (intromissione) intervention; SPORTS tackle; (partecipazione) participation; (discorso) intervention; MED operation"
"intorno","adv. around"
"introdurre","vt. <introduco> (chiave, moneta, scheda) to put; (prodotto, moda, uso) to introduce, (legge, riforma) to bring in; (discorso, tema) to start; (persona) to show; LING to introduce; avere introdotto"
"introdurrsi","vr. <introduco> (ambiente) to join <acronym title=something"">sth</acronym>; essersi introdotto"""
"invadere","vt. <invado> (territorio, paese) to invade; (folla) to invade, (animali, piante) to take over, (acque) to flood; (malattia) to infect, (prodotto, moda) to flood; avere invaso"
"invidiare","vt. (persona) to envy; (cosa) to envy; avere invidiato"
"invitare","vt. (a cena, festa) to invite; (esortare) to ask; (invogliare) to tempt; avere invitato"
"involucro","n. m. (confezione) wrapping, (per protezione) casing"
"isolato","n. m. block"
"lagnarsi","vr. (lamentarsi) ; essersi lagnato"
"lampo","n. m. (fulmine) flash of lightning; (bagliore) flash; (batter d'occhio) flash; (intuizione) flash"
"lanciare","vt. (gettare: oggetti) to throw, (bombe) to drop; (far andare a gran velocità: auto) to drive at full speed, (cavallo) to ride at a gallop; COMPUT (programma, software) to launch; (razzo, capsula spaziale) to launch; COMM (prodotto) to launch; (emettere: grido) to let out; avere lanciato"
"lanciarsi","vr. (buttarsi) to throw oneself; essersi lanciato"
"lanciare","vt. (gettare: oggetti) to throw, (bombe) to drop; (far andare a gran velocità: auto) to drive at full speed, (cavallo) to ride at a gallop; COMPUT (programma, software) to launch; (razzo, capsula spaziale) to launch; COMM (prodotto) to launch; (emettere: grido) to let out; avere lanciato"
"lanciarsi","vr. (buttarsi) to throw oneself; essersi lanciato"
"lasciare","vt. (gener) to leave; (mollare la presa) to let; (consentire) to allow; (non chiudere) to leave; avere lasciato"
"lasciarsi","vr. (coppia) to split up, (non curarsi) to neglect oneself; essersi lasciato"
"lavare","vt. (biancheria, stoviglie) to wash, (pavimento, denti, vetri) to clean; avere lavato"
"lavarsi","vr. to wash; essersi lavato"
"lavastoviglie","n. f. <-> dishwasher"
"lavorare","vt. (ferro, pasta, terreno) to work; avere lavorato"
"lavorare","vi. (gener) to work; (negozio) to do business; avere lavorato"
"lavorarsi","vr. ; essersi lavorato"
"legare","vt. (collegare) to bind, (con spago, funi) to tie up; (unire) to bind together; avere legato"
"legare","vi. (andare d'accordo) to get on; avere legato"
"legarsi","vr. (attaccarsi) to tie oneself; CHEM to bind; essersi legato"
"legare","vt. (collegare) to bind, (con spago, funi) to tie up; (unire) to bind together; avere legato"
"legare","vi. (andare d'accordo) to get on; avere legato"
"legarsi","vr. (attaccarsi) to tie oneself; CHEM to bind; essersi legato"
"leggere","vt. <leggo> (libro, testo) to read; avere letto"
"leggere","vi. <leggo> to read; avere letto"
"lentezza","n. f. slowness"
"lettore","n. m. reader"
"lettore","n. m. (chi legge) reader; (professione) foreign language assistant"
"lettura","n. f. (atto del leggere) reading; (scritto) (piece of) writing"
"liberare","vt. (prigioniero, ostaggio) to release; (da invasione, assedio) to liberate; (sgombrare: tavolo, strada) to clear; (camera, casa) to vacate; avere liberato"
"liberarsi","vr. (posto, casa) to become free; essersi liberato"
"licenziare","vt. (impiegato) to dismiss, (per riduzione del personale) to lay off; avere licenziato"
"licenziarsi","vr. (da un impiego) to resign; essersi licenziato"
"limare","vt. (sbarra, superficie, unghia) to file; (scritto, stile) to polish; avere limato"
"limarsi","vr. ; essersi limato"
"limitare","vt. (ridurre: costi, libertà) to restrict; (delimitare: zona) to delimit; avere limitato"
"limitarsi","vr. ; essersi limitato"
"liquidare","vt. (calcolare: conto, somma, pensione) to settle; (pagare: creditori) to pay, (debito) to settle; (svendere: merce) to sell off; (chiudere: azienda) to liquidate; (criticare) to write off; (uccidere: avversario) to dispose of; (sbrigare: pratica) to deal with; (mandar via: persona) to get rid of; avere liquidato"
"località","n. f. <-> locality"
"lodare","vt. (elogiare, celebrare) to praise; avere lodato"
"lontananza","n. f. (distanza) distance; (assenza, mancanza) absence"
"lotta","n. f. (combattimento) combat; SPORTS wrestling; (contro fumo, malattia) fight; (dissidio) struggle"
"lottare","vi. (combattere) to fight; SPORTS (fare alla lotta) to wrestle; (opporsi a: sonno, accuse) to fight; avere lottato"
"lutto","n. m. (dolore) grief; (abiti) mourning (clothes); (perdita) bereavement"
"lutto","n. m. (dolore) grief; (abiti) mourning (clothes); (perdita) bereavement"
"macchiare","vt. (sporcare) to stain; (caffé, tè) to add milk to, (latte) to add coffee to; (onore, nome) to sully; avere macchiato"
"macchiarsi","vr. (sporcarsi) to get dirty; essersi macchiato"
"maestro","n. m. (insegnante elementare) elementary school teacher; (di danza) teacher, (di sci) instructor; (musicista) maestro; (esperto, artigiano) master; (di vita, stile) master"
"maggioranza","n. f. majority"
"malapena","n. f."
"maledire","vt. to curse; avere maledito"
"malinteso","n. m. misunderstanding"
"mancare","vi. (non esserci, non bastare) to be lacking, (acqua, corrente, luce) to go off; (essere assente) to not be there, (provocare nostalgia) to miss; (distare) to be; (morire) to die; (svenire) to faint; (sbagliare) to make a mistake; avere mancato"
"mancare","vt. (bersaglio, colpo, palla) to miss; (occasione, opportunità) to miss; essere mancato"
"mancia","n. f. <-ce> tip"
"manciata","n. f. (pugno) handful; (piccola quantità) couple"
"mandare","vt. (persona) to send, (a sede, ufficio) to post; (lettera, pacco, fiori) to send; (luce, fumo, odore) to give off, (grido, verso) to let out; avere mandato"
"mangiare","vt. (ingerire) to eat; (rosicchiare, corrodere) to eat away at; (denaro) to get through; (nei giochi) to take; avere mangiato"
"mangiarsi","vr. to eat; essersi mangiato"
"mangiare","n. m. food"
"manna","n. f. REL manna; (bene inatteso) godsend"
"mantenere","vt. (disciplina, calma, ordine) to keep; (in vita, funzione) to keep; (impegno, promessa, segreto) to keep; (figli, famiglia) to support, (casa, auto) to maintain; avere mantenuto"
"mantenersi","vr. (conservarsi) to keep; (sostentarsi) to support oneself; essersi mantenuto"
"marea","n. f. <-ee> GEOG tide; (di fango) river; (grande quantità) load"
"mascherare","vt. (viso) to mask, (persona) to dress up; (sentimento) to mask; avere mascherato"
"mascherarsi","vr. ; essersi mascherato"
"massiccio","n. m. <-cci> massif"
"matita","n. f. pencil"
"matrigna","n. f. stepmother"
"medicare","vt. (persona) to treat; (ferita) to dress; avere medicato"
"medicarsi","vr. to treat oneself; essersi medicato"
"mendicante","n. mf. beggar"
"mensola","n. f. shelf"
"mentire","vi. (dire il falso) to lie; avere mentito"
"merce","n. f. (prodotto) goods <span class=number""><acronym title=""plurale"">pl</acronym></span>; commodity"""
"meritare","vt. (premio, punizione) to deserve; (prezzo) to be worth; (valere la pena) to be worth; avere meritato"
"meritarsi","vr. to deserve; essersi meritato"
"mestiere","n. m. (lavoro) job, (lavoro manuale) trade; (pratica) experience; money-spinner"
"mettere","vt. <metto> (collocare: in luogo) to put, (in posizione) to place; (francobollo) to stick, (ingrediente) to add, (liquido) to pour, (chiave, chiodo) to put, (quadro, tende) to hang; (persona) to put; (indumento) to put on; (telefono, ascensore) to install; (abbaglianti) to switch on, (marcia) to go into; (denaro, annuncio, firma, visto) to put; (sentimento, stato d'animo) to make; (energia, forza) to put; avere messo"
"mettersi","vr. <metto> (in posizione) to put oneself; (in condizione) to make oneself; (indossare) to put on; (infilarsi) to put; (evolversi: situazione) to turn out; essersi messo"
"micio","n. m. <-ci, -ce> puss"
"migliorare","vt. (rendere migliore) to improve; essere migliorato"
"migliorare","vi. (diventare migliore) to improve; (stare meglio) to get better; essere migliorato"
"migliorarsi","vr. to improve oneself; essersi migliorato"
"migrare","vi. (uccelli) to migrate; essere migrato"
"minacciare","vt. to threaten; avere minacciato"
"minestra","n. f. (zuppa) soup; (faccenda, storia) story"
"minore","n. mf. (più giovane) youngest; (minorenne) minor"
"mirare","vi. to aim; avere mirato"
"misfatto","n. m. crime"
"misurare","vt. (calcolare) to measure; (indossare) to try on; (moderare) to measure; (stimare) to weigh up; avere misurato"
"misurare","vi. to measure; avere misurato"
"misurarsi","vr. (cimentarsi) to measure oneself; (limitarsi) to control; essersi misurato"
"moderare","vt. (spese, velocità) to curb, (tono, collera) to moderate; (dibattito) to chair; avere moderato"
"moderarsi","vr. to keep oneself in check; essersi moderato"
"modificare","vt. (cambiare) to alter; (migliorare) to improve; avere modificato"
"modificarsi","vr. to change; essersi modificato"
"mordere","vt. <mordo> (mela, panino) to bite into, (cane, vipera) to bite; (insetto) to sting; avere morso"
"mordere","vi. <mordo> (freddo) to bite, (sapore) to be sharp; avere morso"
"mordersi","vr. <mordo> (lingua, labbro, unghie) to bite; essersi morso"
"mordere","vt. <mordo> (mela, panino) to bite into, (cane, vipera) to bite; (insetto) to sting; avere morso"
"mordere","vi. <mordo> (freddo) to bite, (sapore) to be sharp; avere morso"
"mordersi","vr. <mordo> (lingua, labbro, unghie) to bite; essersi morso"
"morire","vi. <muoio> (persona, animale, pianta) to die; (istituzione, tradizione) to die; (conversazione, discorso) to die off, (progetto, questione) to die; (fuoco, luce) to die out, (passione, speranza) to die off; essere morto"
"mortale","n. m. mortal"
"mostrare","vt. (far vedere) to show; (additare) to point out; (spiegare, dimostrare) to explain; (palesare) to show; (fingere) to pretend; avere mostrato"
"mostrarsi","vr. (farsi vedere) to appear; (dimostrarsi) to appear; essersi mostrato"
"mucchio","n. m. <-cchi> (di carte, pietre, stracci) heap; (grande quantità) a lot"
"multa","n. f. fine"
"muto","n. m. silent cinema"
"muto","n. m. dumb person"
"nascere","vi. <nasco> (persone, animali) to be born; (pianta) to come up, (fiore) to come out; (fiumi) to rise; (sole) to rise, (giorno) to break; (avere origine: tradizione, iniziativa) to come from; (formarsi: associazione) to be created; (amore) to be born; essere nato"
"nascondere","vt. <nascondo> (oggetto) to hide; (sentimento, verità) to conceal; avere nascosto"
"nascondersi","vr. <nascondo> to hide; essersi nascosto"
"navigare","vi. NAUT to sail; COMPUT to surf the Internet; avere navigato"
"nebbia","n. f. <-ie> METEO fog; (nebulosità) mist"
"negare","vt. (contestare) to deny; (rifiutare) to deny; avere negato"
"negoziare","vt. (contratto, pace) to negotiate; FIN (titoli, cambiali) to negotiate; avere negoziato"
"nevicare","vi. to snow; essere nevicato"
"noleggiare","vt. (dare a nolo) to rent (out); (prendere a nolo) to rent, (navi, aerei) to charter; avere noleggiato"
"nominare","vt. (citare) to mention; (eleggere) to nominate, (commissione, avvocato) to appoint; (chiamare: via, pianta, astro) to name; avere nominato"
"notare","vt. (rilevare) to notice; (prender nota) to note; (considerare) to note; avere notato"
"nozze","n. f. wedding"
"nube","n. f. (nuvola) cloud; scient (radioattiva, tossica, cosmica, ionica) cloud"
"nulla","adv."
"nulla","n. m. nothing"
"nuotare","vi. to swim; avere nuotato"
"obbligare","vt. (costringere) to force; LAW (vincolare) to compel; avere obbligato"
"obbligarsi","vr. LAW (vincolarsi) to be bound; (impegnarsi) to force oneself; essersi obbligato"
"obbrobrio","n. m. <-i> (azione vergognosa) disgrace; (cosa brutta) horror"
"oblio","n. m. <-ii> oblivion"
"occultare","vt. (nascondere) to hide; to conceal; ASTRO to occult; avere occultato"
"occupare","vt. (casa, fabbrica, scuola) to occupy; MIL (città paese) to occupy; (abitare: appartamento) to occupy; (riempire: spazio) to take up; (ricoprire: carica) to hold; avere occupato"
"occuparsi","vr. ; essersi occupato"
"odiare","vt. (nemico, persona, materia, cibo) to hate; avere odiato"
"offendere","vt. <offendo> (persona) to offend; (danneggiare) to damage; avere offeso"
"offendersi","vr. <offendo> (risentirsi) to take offense; (insultarsi) to insult each other; essersi offeso"
"offrire","vt. <offro> (gener) to offer; (fornire: pretesto, appiglio, scusa) to provide; (regalare) to give; (pagare) to pay; avere offerto"
"offrirsi","vr. <offro> to offer oneself; essersi offerto"
"oggetto","n. m. (cosa) object; (scopo) object; (argomento) subject; LAW matter; PHILOS object; LING object, (complemento oggetto) direct object; ADMIN (nelle lettere) re:"
"oggigiorno","adv. nowadays"
"oltre","adv. (di tempo) longer; (di luogo) further"
"oltrepassare","vt. (superare) to cross; (limite, soglia) to exceed; avere oltrepassato"
"omaggio","n. m. <-ggi> (offerta) gift; (segno di rispetto) tribute; pl. (ossequi) regards <span class=number""><acronym title=""plurale"">pl</acronym></span>"""
"ombra","n. f. (zona non illuminata) shade; (oscurità) darkness; (sagoma) shadow"
"onda","n. f. (del mare) wave; PHYS wave"
"opera","n. f. (attività) work; (prodotto) work; LIT, arte work; MUS opera; (teatro) play"
"opprimere","vt. <opprimo> (vessare: tiranno, governo) to oppress; (affliggere: persona, angoscia) to oppress; avere oppresso"
"ordinare","vt. (gener) to order; (mettere in ordine: carte, idee, elementi) to organize; REL to ordain; avere ordinato"
"ordinarsi","vr. to arrange oneself; essersi ordinato"
"organizzare","vt. (lavoro, conferenza, viaggio) to organize; avere organizzato"
"organizzarsi","vr. to organize oneself; essersi organizzato"
"orizzonte","n. m. GEO horizon; (prospettiva) opportunity"
"orlo","n. m. (margine) edge; (di tessuto) hem; brink"
"osare","vt. to dare; avere osato"
"osare","vt. to dare; avere osato"
"oscurare","vt. (rendere oscuro: cielo) to darken; (rete televisiva) to block out; avere oscurato"
"oscurarsi","vr. (diventare oscuro) to darken; (vista) to cloud over; essersi oscurato"
"ospitare","vt. (dare ospitalità a) to accommodate; SPORTS to host; (accogliere: convegno) to host; (contenere: persone, barche) to hold; (custodire: quadro, statua) to house; avere ospitato"
"ospite","n. mf. (persona che ospita) host; (persona ospitata) guest"
"ossatura","n. f. ANAT (insieme delle ossa) skeleton; ANAT (struttura ossea) bone structure; (struttura portante: di edificio, economia) framework"
"osservare","vt. (guardare attentamente) to observe; (rispettare: norme, regole, silenzio) to observe; (rilevare) to notice; avere osservato"
"ostacolare","vt. (movimenti) to obstruct, (decisioni) to block, (ingresso, sviluppo, ricerca) to hinder; avere ostacolato"
"ostacolo","n. m. (impedimento) obstacle; (intralcio) hindrance"
"ostinarsi","vr. ; essersi ostinato"
"ottenere","vt. (conseguire: risultato, totale, vittoria) to obtain; (ricevere: ricompensa, premio) to gain; (ricavare: prodotto) to obtain; avere ottenuto"
"ottone","n. m. (lega) brass; MUS pl. brass section"
"ovunque","adv. (dovunque) wherever; (dappertutto) everywhere"
"padella","n. f. (pentola) frying pan; (per malati) bedpan"
"padronanza","n. f. (di materia, argomento) command; (di emozioni) control"
"paesaggio","n. m. <-ggi> GEOG landscape; (panorama) view; (pittura) landscape (painting), PHOTO landscape (photograph)"
"pagamento","n. m. payment"
"pagare","vt. (persona) to pay, (acquisto, servizio) to pay for; (offrire) to buy; (ricompensare) to repay; avere pagato"
"panchina","n. f. bench"
"paragonare","vt. (confrontare) to compare; avere paragonato"
"paragonarsi","vr. to compare oneself; essersi paragonato"
"parere","vi. <paio> (apparire) to seem; essere parso"
"parere","n. m. (opinione) opinion; (di esperto) advice"
"parere","n. ."
"parete","n. f. wall"
"parlare","vi. (esprimersi) to speak; (conversare) to talk; avere parlato"
"parlare","vt. to speak; avere parlato"
"parlarsi","vr. to speak (to each other); essersi parlato"
"parlare","n. m. (discorso) way of speaking; (parlata) dialect"
"partecipare","vi. ; avere partecipato"
"partecipare","vt. (rendere noto) to announce; avere partecipato"
"partire","vi. (andare via) to leave; (colpo) to go off; (macchina) to start, SPORTS to start; (avere inizio) to start; (rompersi) to break, (staccarsi) to come off; essere partito"
"partita","n. f. (incontro sportivo, gioco) game; COMM entry; (di caccia) party; MUS partita"
"passare","vi. (transitare) to pass; (strada, canale) to run; (andare) to call in; (attraversare un'apertura) to get in, (penetrare) to come in; (trasferirsi) to go; (da una persona all'altra) to pass; (trascorrere) to go by; (cambiare argomento) to move on; (sparire) to pass; (essere accettabile) to do; (a livello superiore) to change; (agli esami) to pass, (legge) to be passed; SPORTS to pass; essere passato"
"passare","vt. (attraversare: confine) to cross; (oltrepassare: semaforo, strada) to go past; (trafiggere) to go through; (superare) to pass; (trascorrere) to spend; (dare) to pass; (notizia) to tell; (patire) to undergo; (perdonare) to forgive; (legge) to pass; (superare: esame, controllo) to pass; (patate, verdura) to purée; (spugna, mano di vernice) to apply; essere passato"
"passeggiare","vi. (andare a spasso) to walk; (andare su e giù) to pace up and down; avere passeggiato"
"passo","n. m. (gener) step; (andatura) pace; (impronta) footprint; TECH thread; AUTO wheelbase; film gauge; MUS (brano) passage; (valico) pass; (stretto di mare) strait"
"pazzo","n. m. MED madman <span class=genus""><acronym title=""masculine"">m</acronym></span>","madwoman <span class=""genus""><acronym title=""feminine"">f</acronym></span>; (persona insensata) crazy person"""
"pelle","n. f. (cute) skin; (pellame) leather; (buccia) peel"
"pellegrino","n. m. pilgrim"
"penetrare","vi. (in un materiale) ; essere penetrato"
"penetrare","vt. (significato, concetto) to understand; (sessualmente) to penetrate; essere penetrato"
"penombra","n. f. half-light"
"pensare","vt. (gener) to think; (escogitare) to think of; avere pensato"
"pensare","vi. (riflettere) to think; avere pensato"
"penuria","n. f. <-ie> shortage"
"pera","n. f. (frutto) pear; (di eroina) fix"
"percorso","n. m. (tragitto) route; (tempo di percorrenza) journey; SPORTS (nell'equitazione) round; COMPUT path"
"perdere","vt. <perdo> (gener) to lose; (treno, film, evento, occasione) to miss; (sprecare) to waste; (acqua, gas) to leak, (sangue) to lose; avere perso [o perduto]"
"perdere","vi. <perdo> (diminuire) ; avere perso [o perduto]"
"perdersi","vr. <perdo> (smarrirsi) to get lost; (svanire) to disappear; (rovinarsi) to be ruined; essersi perso [o perduto]"
"perdono","n. m. REL forgiveness; (scusa) pardon"
"perfezionare","vt. (opera) to improve, (metodo, macchina) to perfect; (contratto) to draw up; avere perfezionato"
"perfezionarsi","vr. (tecnica, scienza) to improve; essersi perfezionato"
"perfino","adv. even"
"perizia","n. f. <-ie> (abilità) skill; (esame: calligrafica, balistica, psichiatrica) report"
"perlopiù","adv. for the most part"
"permanente","n. f. perm"
"permettere","vt. (dare il permesso per) to allow; (dare la possibilità) to permit; (concedersi) to afford; avere permettuto"
"permettersi","vr. to take the liberty; essersi permettuto"
"persuadere","vt. <persuado> (convincere) to persuade; (suscitare consenso) to convince; avere persuaso"
"persuadersi","vr. <persuado> (convincersi) to convince oneself; essersi persuaso"
"pervadere","vt. <pervado> (occupare) to pervade; avere pervaso"
"pesare","vt. (persona, merce) to weigh; (valutare) to weigh up; avere pesato"
"pesare","vi. (avere un peso) to weigh, (essere pesante) to be heavy; avere pesato"
"pesarsi","vr. to weigh oneself; essersi pesato"
"peso","n. m. (gener) weight, (cosa pesante) heavy object; SPORTS (in atletica) shot; (incombenza, angoscia) burden vita"
"pettinare","vt. to comb; avere pettinato"
"pettinarsi","vr. (ravviarsi i capelli) to comb one&#39;s hair, (acconciarsi) to do one&#39;s hair; essersi pettinato"
"petto","n. m. ANAT chest, (di donna) bust, (organi) breasts <span class=number""><acronym title=""plurale"">pl</acronym></span>","FOOD breast; (di abito) front"""
"piacere","vi. <piaccio> ; essere piaciuto"
"piacere","n. m. (gener) pleasure; (favore) favor"
"piangere","vi. <piango> to cry; avere pianto"
"piangere","vt. <piango> (lacrime) to cry; (lamentare) to mourn; avere pianto"
"piano","n. m. (livello) level, MATH plane; (superficie) surface; (di edificio) floor; (progetto) plan; MUS piano"
"piano","adv. (senza fretta) slowly; (a bassa voce) quietly"
"pianta","n. f. BOT plant; (del piede) sole; (di edificio, città) layout"
"pianto","n. m. crying"
"piegare","vt. (sbarra, fil di ferro, braccia, gambe, testa, corpo) to bend, (foglio, vestiti) to fold; (dominare) to subdue; avere piegato"
"piegare","vi. (voltare) to turn; avere piegato"
"piegarsi","vr. (incurvarsi) to bend schiena; (arrendersi) to submit; essersi piegato"
"pietra","n. f. stone"
"pigro","n. m. lazybones <span class=style""><acronym title=""informal"">inf</acronym></span>"""
"pioggia","n. f. <-gge> METEO rain; (grande quantità) torrent"
"piovere","vi. <piove> METEO to rain; to rain down; (arrivare in grande quantità) to come thick and fast <strong class=tilde"">piovere</strong> gli insulti; essere piovuto"""
"piovigginare","vi. to drizzle; essere piovigginato"
"piuttosto","adv. rather"
"poggiare","vt. (posare) to place; avere poggiato"
"poggiare","vi. (poggiare su qc) arch to rest on <acronym title=something"">sth</acronym>","to be based on <acronym title=""something"">sth</acronym>; avere poggiato"""
"polemica","n. f. <-che> (contrasto di opinioni) argument, (attacco) attack"
"polvere","n. f. (sui mobili, in strada) dust; (sostanza sminuzzata) powder"
"portare","vt. (trasportare, trascinare) to carry; (trasferire, accompagnare, prendere con sé) to take; (dare, causare) to bring; (indossare) to wear; (condurre) to lead, (veicoli) to go; (taglia) to take; (proporre, presentare) to provide; (reggere) to support; avere portato"
"portarsi","vr. (recarsi) to go; (stare di salute) to be; essersi portato"
"portone","n. m. main door"
"posata","n. f. piece of silverware"
"possedere","vt. <possiedo> (beni) to have, (dote) to possess; avere posseduto"
"possesso","n. m. (di bene, facoltà) possession; (padronanza) command; pl. (proprietà terriera) property"
"posta","n. f. (servizio) postal service, (ufficio postale) post office; (corrispondenza) mail; (nei giochi) stake"
"potenziare","vt. (rafforzare) to strengthen; avere potenziato"
"potere","vi. <posso> (gener) to be able to; (avere il permesso di) may; avere potuto"
"potere","n. m. (gener) power"
"pozzanghera","n. f. puddle"
"preavviso","n. m. (avviso preventivo) warning; LAW (comunicazione, periodo) notice"
"predire","vt. to predict; avere predito"
"preferire","vt. <preferisco> to prefer; avere preferito"
"prefisso","n. m. LING prefix; TELEC (prefisso (telefonico)) area code"
"pregare","vt. REL to pray to; (chiedere) to beg; avere pregato"
"preghiera","n. f. REL prayer; (richiesta) request"
"premere","vt. (spingere su) to press; (incalzare) to pursue; avere premuto"
"premere","vi. (stare a cuore) to be important; avere premuto"
